Sat Nov  5 21:59:10 CST 2016
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:14 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4661
  rt_request_cnt:  9347
    receivedPkts:  4644
 receivedUniquePkts:  4635
   avgTput[kbps]:  63.5468
    avgDelay[ms]:  114.504
 max ACKed Seqno:  3472
       ACKs sent:  4648
   ACKs received:  4646
   avgPathLength:  14.3557
       dropCount:  18
       totalSent:  9313
        dropRate:  0.00193278

--- Hop Node Number:14 ---

       startTime:  1
        stopTime:  299
        sentPkts:  2823
  rt_request_cnt:  5523
    receivedPkts:  2795
 receivedUniquePkts:  2715
   avgTput[kbps]:  37.2249
    avgDelay[ms]:  100.149
 max ACKed Seqno:  2029
       ACKs sent:  2798
   ACKs received:  2638
   avgPathLength:  13.3249
       dropCount:  187
       totalSent:  5624
        dropRate:  0.0332504

--- Hop Node Number:14 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4868
  rt_request_cnt:  9770
    receivedPkts:  4844
 receivedUniquePkts:  4830
   avgTput[kbps]:  66.21
    avgDelay[ms]:  100.637
 max ACKed Seqno:  3582
       ACKs sent:  4847
   ACKs received:  4844
   avgPathLength:  13.4189
       dropCount:  24
       totalSent:  9718
        dropRate:  0.00246964

--- Hop Node Number:14 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5188
  rt_request_cnt:  10383
    receivedPkts:  5027
 receivedUniquePkts:  5009
   avgTput[kbps]:  68.6579
    avgDelay[ms]:  128.944
 max ACKed Seqno:  4014
       ACKs sent:  5029
   ACKs received:  4983
   avgPathLength:  14.5527
       dropCount:  141
       totalSent:  10219
        dropRate:  0.0137978

--- Hop Node Number:14 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4118
  rt_request_cnt:  8265
    receivedPkts:  4011
 receivedUniquePkts:  4001
   avgTput[kbps]:  54.8568
    avgDelay[ms]:  127.416
 max ACKed Seqno:  3579
       ACKs sent:  4013
   ACKs received:  4010
   avgPathLength:  14.3972
       dropCount:  108
       totalSent:  8133
        dropRate:  0.0132792

--- Hop Node Number:14 ---

       startTime:  1
        stopTime:  299
        sentPkts:  3838
  rt_request_cnt:  7664
    receivedPkts:  3716
 receivedUniquePkts:  3687
   avgTput[kbps]:  50.5428
    avgDelay[ms]:  133.562
 max ACKed Seqno:  3204
       ACKs sent:  3718
   ACKs received:  3631
   avgPathLength:  14.419
       dropCount:  207
       totalSent:  7558
        dropRate:  0.0273882

--- Hop Node Number:14 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5219
  rt_request_cnt:  10434
    receivedPkts:  5078
 receivedUniquePkts:  5017
   avgTput[kbps]:  68.7961
    avgDelay[ms]:  139.815
 max ACKed Seqno:  4326
       ACKs sent:  5080
   ACKs received:  4860
   avgPathLength:  14.2765
       dropCount:  362
       totalSent:  10301
        dropRate:  0.0351422

--- Hop Node Number:14 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4767
  rt_request_cnt:  9586
    receivedPkts:  4491
 receivedUniquePkts:  4458
   avgTput[kbps]:  61.1492
    avgDelay[ms]:  250.024
 max ACKed Seqno:  3906
       ACKs sent:  4493
   ACKs received:  4483
   avgPathLength:  14.0893
       dropCount:  286
       totalSent:  9262
        dropRate:  0.0308789

--- Hop Node Number:14 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5496
  rt_request_cnt:  11048
    receivedPkts:  5281
 receivedUniquePkts:  5207
   avgTput[kbps]:  71.3732
    avgDelay[ms]:  191.985
 max ACKed Seqno:  2856
       ACKs sent:  5283
   ACKs received:  5268
   avgPathLength:  14.1411
       dropCount:  227
       totalSent:  10781
        dropRate:  0.0210556

--- Hop Node Number:14 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5615
  rt_request_cnt:  11373
    receivedPkts:  5379
 receivedUniquePkts:  5341
   avgTput[kbps]:  73.2106
    avgDelay[ms]:  162.689
 max ACKed Seqno:  3068
       ACKs sent:  5381
   ACKs received:  5342
   avgPathLength:  14.474
       dropCount:  271
       totalSent:  10998
        dropRate:  0.0246408

--- Hop Node Number:14 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5093
  rt_request_cnt:  10321
    receivedPkts:  4927
 receivedUniquePkts:  4878
   avgTput[kbps]:  66.8688
    avgDelay[ms]:  161.915
 max ACKed Seqno:  3624
       ACKs sent:  4929
   ACKs received:  4910
   avgPathLength:  14.2906
       dropCount:  176
       totalSent:  10024
        dropRate:  0.0175579

--- Hop Node Number:14 ---

       startTime:  1
        stopTime:  299
        sentPkts:  3954
  rt_request_cnt:  7855
    receivedPkts:  3684
 receivedUniquePkts:  3566
   avgTput[kbps]:  48.8784
    avgDelay[ms]:  309.96
 max ACKed Seqno:  2226
       ACKs sent:  3686
   ACKs received:  3538
   avgPathLength:  14.4812
       dropCount:  407
       totalSent:  7642
        dropRate:  0.0532583

--- Hop Node Number:14 ---

       startTime:  1
        stopTime:  299
        sentPkts:  2038
  rt_request_cnt:  4096
    receivedPkts:  1968
 receivedUniquePkts:  1955
   avgTput[kbps]:  26.8384
    avgDelay[ms]:  132.758
 max ACKed Seqno:  1526
       ACKs sent:  1970
   ACKs received:  1969
   avgPathLength:  14.6547
       dropCount:  71
       totalSent:  4010
        dropRate:  0.0177057

--- Hop Node Number:14 ---

       startTime:  1
        stopTime:  299
        sentPkts:  3658
  rt_request_cnt:  7365
    receivedPkts:  3434
 receivedUniquePkts:  3410
   avgTput[kbps]:  46.7478
    avgDelay[ms]:  304.06
 max ACKed Seqno:  2873
       ACKs sent:  3436
   ACKs received:  3426
   avgPathLength:  14.3101
       dropCount:  226
       totalSent:  7096
        dropRate:  0.0318489

--- Hop Node Number:14 ---

       startTime:  1
        stopTime:  299
        sentPkts:  2443
  rt_request_cnt:  4936
    receivedPkts:  2370
 receivedUniquePkts:  2355
   avgTput[kbps]:  32.2796
    avgDelay[ms]:  135.652
 max ACKed Seqno:  1904
       ACKs sent:  2372
   ACKs received:  2370
   avgPathLength:  14.3897
       dropCount:  74
       totalSent:  4817
        dropRate:  0.0153623

--- Hop Node Number:14 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4729
  rt_request_cnt:  9526
    receivedPkts:  4466
 receivedUniquePkts:  4448
   avgTput[kbps]:  60.9771
    avgDelay[ms]:  176.949
 max ACKed Seqno:  4014
       ACKs sent:  4468
   ACKs received:  4462
   avgPathLength:  14.1767
       dropCount:  269
       totalSent:  9199
        dropRate:  0.0292423

--- Hop Node Number:14 ---

       startTime:  1
        stopTime:  300
        sentPkts:  4781
  rt_request_cnt:  9718
    receivedPkts:  4513
 receivedUniquePkts:  4452
   avgTput[kbps]:  61.021
    avgDelay[ms]:  301.74
 max ACKed Seqno:  3872
       ACKs sent:  4515
   ACKs received:  4463
   avgPathLength:  14.282
       dropCount:  309
       totalSent:  9298
        dropRate:  0.033233

--- Hop Node Number:14 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5399
  rt_request_cnt:  10875
    receivedPkts:  5004
 receivedUniquePkts:  4920
   avgTput[kbps]:  67.4415
    avgDelay[ms]:  238.142
 max ACKed Seqno:  3466
       ACKs sent:  5006
   ACKs received:  4948
   avgPathLength:  14.6219
       dropCount:  435
       totalSent:  10407
        dropRate:  0.0417988

--- Hop Node Number:14 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5076
  rt_request_cnt:  10219
    receivedPkts:  4825
 receivedUniquePkts:  4808
   avgTput[kbps]:  65.9222
    avgDelay[ms]:  158.738
 max ACKed Seqno:  4332
       ACKs sent:  4827
   ACKs received:  4807
   avgPathLength:  14.1432
       dropCount:  271
       totalSent:  9905
        dropRate:  0.0273599

--- Hop Node Number:14 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4482
  rt_request_cnt:  9031
    receivedPkts:  4278
 receivedUniquePkts:  4251
   avgTput[kbps]:  58.2996
    avgDelay[ms]:  149.187
 max ACKed Seqno:  3928
       ACKs sent:  4280
   ACKs received:  4273
   avgPathLength:  14.0946
       dropCount:  211
       totalSent:  8764
        dropRate:  0.0240758

--- Hop Node Number:14 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5236
  rt_request_cnt:  10481
    receivedPkts:  5003
 receivedUniquePkts:  4954
   avgTput[kbps]:  67.9072
    avgDelay[ms]:  154.797
 max ACKed Seqno:  4530
       ACKs sent:  5005
   ACKs received:  4909
   avgPathLength:  14.2961
       dropCount:  327
       totalSent:  10243
        dropRate:  0.0319242

--- Hop Node Number:14 ---

       startTime:  1
        stopTime:  299
        sentPkts:  3893
  rt_request_cnt:  7825
    receivedPkts:  3708
 receivedUniquePkts:  3665
   avgTput[kbps]:  50.2945
    avgDelay[ms]:  145.994
 max ACKed Seqno:  3264
       ACKs sent:  3710
   ACKs received:  3614
   avgPathLength:  14.1363
       dropCount:  281
       totalSent:  7605
        dropRate:  0.0369494

--- Hop Node Number:14 ---

       startTime:  1
        stopTime:  299
        sentPkts:  2992
  rt_request_cnt:  6057
    receivedPkts:  2865
 receivedUniquePkts:  2804
   avgTput[kbps]:  38.4997
    avgDelay[ms]:  144.219
 max ACKed Seqno:  2248
       ACKs sent:  2867
   ACKs received:  2755
   avgPathLength:  14.2689
       dropCount:  239
       totalSent:  5861
