Sat Nov  5 22:22:25 CST 2016
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:15 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4538
  rt_request_cnt:  9047
    receivedPkts:  4524
 receivedUniquePkts:  4515
   avgTput[kbps]:  61.8911
    avgDelay[ms]:  122.247
 max ACKed Seqno:  2625
       ACKs sent:  4526
   ACKs received:  4479
   avgPathLength:  15.315
       dropCount:  58
       totalSent:  9066
        dropRate:  0.00639753

--- Hop Node Number:15 ---

       startTime:  1
        stopTime:  299
        sentPkts:  3962
  rt_request_cnt:  7936
    receivedPkts:  3886
 receivedUniquePkts:  3880
   avgTput[kbps]:  53.184
    avgDelay[ms]:  136.752
 max ACKed Seqno:  2874
       ACKs sent:  3888
   ACKs received:  3884
   avgPathLength:  15.9848
       dropCount:  79
       totalSent:  7852
        dropRate:  0.0100611

--- Hop Node Number:15 ---

       startTime:  1
        stopTime:  299
        sentPkts:  3982
  rt_request_cnt:  8042
    receivedPkts:  3896
 receivedUniquePkts:  3881
   avgTput[kbps]:  53.2006
    avgDelay[ms]:  264.055
 max ACKed Seqno:  2750
       ACKs sent:  3898
   ACKs received:  3892
   avgPathLength:  15.6593
       dropCount:  86
       totalSent:  7882
        dropRate:  0.0109109

--- Hop Node Number:15 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5512
  rt_request_cnt:  11165
    receivedPkts:  5361
 receivedUniquePkts:  5313
   avgTput[kbps]:  72.8332
    avgDelay[ms]:  240.023
 max ACKed Seqno:  4606
       ACKs sent:  5363
   ACKs received:  5314
   avgPathLength:  15.0565
       dropCount:  193
       totalSent:  10877
        dropRate:  0.0177439

--- Hop Node Number:15 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4009
  rt_request_cnt:  8114
    receivedPkts:  3917
 receivedUniquePkts:  3889
   avgTput[kbps]:  53.3293
    avgDelay[ms]:  263.364
 max ACKed Seqno:  2228
       ACKs sent:  3919
   ACKs received:  3912
   avgPathLength:  15.6389
       dropCount:  97
       totalSent:  7930
        dropRate:  0.012232

--- Hop Node Number:15 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4802
  rt_request_cnt:  9755
    receivedPkts:  4576
 receivedUniquePkts:  4497
   avgTput[kbps]:  61.6444
    avgDelay[ms]:  317.22
 max ACKed Seqno:  2280
       ACKs sent:  4578
   ACKs received:  4562
   avgPathLength:  16.1466
       dropCount:  240
       totalSent:  9382
        dropRate:  0.0255809

--- Hop Node Number:15 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4590
  rt_request_cnt:  9281
    receivedPkts:  4289
 receivedUniquePkts:  4204
   avgTput[kbps]:  57.6409
    avgDelay[ms]:  444.876
 max ACKed Seqno:  2184
       ACKs sent:  4291
   ACKs received:  4270
   avgPathLength:  16.3159
       dropCount:  262
       totalSent:  8883
        dropRate:  0.0294945

--- Hop Node Number:15 ---

       startTime:  1
        stopTime:  299
        sentPkts:  3692
  rt_request_cnt:  7461
    receivedPkts:  3367
 receivedUniquePkts:  3260
   avgTput[kbps]:  44.6835
    avgDelay[ms]:  505.762
 max ACKed Seqno:  2190
       ACKs sent:  3369
   ACKs received:  3347
   avgPathLength:  15.704
       dropCount:  338
       totalSent:  7063
        dropRate:  0.047855

--- Hop Node Number:15 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4571
  rt_request_cnt:  9246
    receivedPkts:  4299
 receivedUniquePkts:  4236
   avgTput[kbps]:  58.0667
    avgDelay[ms]:  413.401
 max ACKed Seqno:  2630
       ACKs sent:  4301
   ACKs received:  4289
   avgPathLength:  15.2764
       dropCount:  276
       totalSent:  8874
        dropRate:  0.0311021

--- Hop Node Number:15 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4741
  rt_request_cnt:  9607
    receivedPkts:  4472
 receivedUniquePkts:  4395
   avgTput[kbps]:  60.2545
    avgDelay[ms]:  285.246
 max ACKed Seqno:  3081
       ACKs sent:  4474
   ACKs received:  4458
   avgPathLength:  15.689
       dropCount:  278
       totalSent:  9217
        dropRate:  0.0301617

--- Hop Node Number:15 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4971
  rt_request_cnt:  10087
    receivedPkts:  4680
 receivedUniquePkts:  4584
   avgTput[kbps]:  62.8331
    avgDelay[ms]:  207.429
 max ACKed Seqno:  2968
       ACKs sent:  4682
   ACKs received:  4556
   avgPathLength:  15.7774
       dropCount:  408
       totalSent:  9655
        dropRate:  0.0422579

--- Hop Node Number:15 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4167
  rt_request_cnt:  8354
    receivedPkts:  3872
 receivedUniquePkts:  3754
   avgTput[kbps]:  51.4574
    avgDelay[ms]:  317.204
 max ACKed Seqno:  1858
       ACKs sent:  3874
   ACKs received:  3802
   avgPathLength:  15.7939
       dropCount:  348
       totalSent:  8043
        dropRate:  0.0432674

--- Hop Node Number:15 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5238
  rt_request_cnt:  10553
    receivedPkts:  4968
 receivedUniquePkts:  4882
   avgTput[kbps]:  66.9229
    avgDelay[ms]:  272.292
 max ACKed Seqno:  3390
       ACKs sent:  4970
   ACKs received:  4823
   avgPathLength:  15.335
       dropCount:  372
       totalSent:  10210
        dropRate:  0.0364349

--- Hop Node Number:15 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4778
  rt_request_cnt:  9674
    receivedPkts:  4529
 receivedUniquePkts:  4474
   avgTput[kbps]:  61.3454
    avgDelay[ms]:  177.392
 max ACKed Seqno:  3360
       ACKs sent:  4531
   ACKs received:  4516
   avgPathLength:  15.2851
       dropCount:  265
       totalSent:  9311
        dropRate:  0.028461

--- Hop Node Number:15 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4641
  rt_request_cnt:  9581
    receivedPkts:  4368
 receivedUniquePkts:  4164
   avgTput[kbps]:  57.107
    avgDelay[ms]:  320.355
 max ACKed Seqno:  2878
       ACKs sent:  4370
   ACKs received:  4359
   avgPathLength:  15.1655
       dropCount:  283
       totalSent:  9013
        dropRate:  0.0313991

--- Hop Node Number:15 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4637
  rt_request_cnt:  9434
    receivedPkts:  4368
 receivedUniquePkts:  4310
   avgTput[kbps]:  59.0807
    avgDelay[ms]:  187.962
 max ACKed Seqno:  3767
       ACKs sent:  4370
   ACKs received:  4346
   avgPathLength:  15.2111
       dropCount:  283
       totalSent:  9009
        dropRate:  0.031413

--- Hop Node Number:15 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4915
  rt_request_cnt:  10021
    receivedPkts:  4643
 receivedUniquePkts:  4559
   avgTput[kbps]:  62.4969
    avgDelay[ms]:  205.775
 max ACKed Seqno:  2733
       ACKs sent:  4645
   ACKs received:  4624
   avgPathLength:  15.7182
       dropCount:  288
       totalSent:  9562
        dropRate:  0.0301192

--- Hop Node Number:15 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4136
  rt_request_cnt:  8405
    receivedPkts:  3813
 receivedUniquePkts:  3710
   avgTput[kbps]:  50.8677
    avgDelay[ms]:  385.956
 max ACKed Seqno:  1949
       ACKs sent:  3815
   ACKs received:  3809
   avgPathLength:  15.6217
       dropCount:  328
       totalSent:  7953
        dropRate:  0.0412423

--- Hop Node Number:15 ---

       startTime:  1
        stopTime:  299
        sentPkts:  3936
  rt_request_cnt:  8001
    receivedPkts:  3667
 receivedUniquePkts:  3559
   avgTput[kbps]:  48.805
    avgDelay[ms]:  186.791
 max ACKed Seqno:  2029
       ACKs sent:  3669
   ACKs received:  3662
   avgPathLength:  15.4473
       dropCount:  275
       totalSent:  7607
        dropRate:  0.0361509

--- Hop Node Number:15 ---

       startTime:  1
        stopTime:  299
        sentPkts:  3620
  rt_request_cnt:  7375
    receivedPkts:  3389
 receivedUniquePkts:  3279
   avgTput[kbps]:  44.9611
    avgDelay[ms]:  185.796
 max ACKed Seqno:  2072
       ACKs sent:  3391
   ACKs received:  3386
   avgPathLength:  15.794
       dropCount:  236
       totalSent:  7013
        dropRate:  0.0336518

--- Hop Node Number:15 ---

       startTime:  1
        stopTime:  299
        sentPkts:  3651
  rt_request_cnt:  7410
    receivedPkts:  3380
 receivedUniquePkts:  3313
   avgTput[kbps]:  45.418
    avgDelay[ms]:  186.266
 max ACKed Seqno:  2175
       ACKs sent:  3382
   ACKs received:  3358
   avgPathLength:  15.2475
       dropCount:  296
       totalSent:  7035
        dropRate:  0.0420753

--- Hop Node Number:15 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4546
  rt_request_cnt:  9231
    receivedPkts:  4228
 receivedUniquePkts:  4185
   avgTput[kbps]:  57.3687
    avgDelay[ms]:  195.558
 max ACKed Seqno:  2186
       ACKs sent:  4230
   ACKs received:  4199
   avgPathLength:  15.3546
       dropCount:  343
       totalSent:  8778
        dropRate:  0.039075

--- Hop Node Number:15 ---

       startTime:  1
        stopTime:  299
        sentPkts:  3397
  rt_request_cnt:  6946
    receivedPkts:  3189
 receivedUniquePkts:  3101
   avgTput[kbps]:  42.5084
    avgDelay[ms]:  200.202
 max ACKed Seqno:  1966
       ACKs sent:  3191
   ACKs received:  3177
   avgPathLength:  15.4956
       dropCount:  212
       totalSent:  6590
        dropRate:  0.03217

