Sat Nov  5 22:00:02 CST 2016
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:11 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4950
  rt_request_cnt:  9916
    receivedPkts:  4948
 receivedUniquePkts:  4948
   avgTput[kbps]:  67.8143
    avgDelay[ms]:  52.4901
 max ACKed Seqno:  2973
       ACKs sent:  4950
   ACKs received:  4950
   avgPathLength:  12
       dropCount:  2
       totalSent:  9902
        dropRate:  0.000201979

--- Hop Node Number:11 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4639
  rt_request_cnt:  9295
    receivedPkts:  4636
 receivedUniquePkts:  4636
   avgTput[kbps]:  63.5348
    avgDelay[ms]:  53.5896
 max ACKed Seqno:  3054
       ACKs sent:  4638
   ACKs received:  4637
   avgPathLength:  12
       dropCount:  3
       totalSent:  9279
        dropRate:  0.000323311

--- Hop Node Number:11 ---

       startTime:  1
        stopTime:  299
        sentPkts:  7204
  rt_request_cnt:  14459
    receivedPkts:  7175
 receivedUniquePkts:  7171
   avgTput[kbps]:  98.2812
    avgDelay[ms]:  59.2406
 max ACKed Seqno:  5957
       ACKs sent:  7177
   ACKs received:  7176
   avgPathLength:  12
       dropCount:  28
       totalSent:  14383
        dropRate:  0.00194674

--- Hop Node Number:11 ---

       startTime:  1
        stopTime:  299
        sentPkts:  6956
  rt_request_cnt:  13937
    receivedPkts:  6942
 receivedUniquePkts:  6940
   avgTput[kbps]:  95.1153
    avgDelay[ms]:  57.997
 max ACKed Seqno:  5586
       ACKs sent:  6944
   ACKs received:  6943
   avgPathLength:  12
       dropCount:  12
       totalSent:  13902
        dropRate:  0.000863185

--- Hop Node Number:11 ---

       startTime:  1
        stopTime:  299
        sentPkts:  6139
  rt_request_cnt:  12309
    receivedPkts:  6125
 receivedUniquePkts:  6123
   avgTput[kbps]:  83.9218
    avgDelay[ms]:  56.5594
 max ACKed Seqno:  4248
       ACKs sent:  6127
   ACKs received:  6127
   avgPathLength:  12
       dropCount:  13
       totalSent:  12268
        dropRate:  0.00105967

--- Hop Node Number:11 ---

       startTime:  1
        stopTime:  299
        sentPkts:  6825
  rt_request_cnt:  13698
    receivedPkts:  6793
 receivedUniquePkts:  6789
   avgTput[kbps]:  93.0426
    avgDelay[ms]:  58.1828
 max ACKed Seqno:  3616
       ACKs sent:  6795
   ACKs received:  6794
   avgPathLength:  12
       dropCount:  29
       totalSent:  13622
        dropRate:  0.00212891

--- Hop Node Number:11 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8029
  rt_request_cnt:  16128
    receivedPkts:  7988
 receivedUniquePkts:  7979
   avgTput[kbps]:  109.354
    avgDelay[ms]:  62.9629
 max ACKed Seqno:  6426
       ACKs sent:  7990
   ACKs received:  7986
   avgPathLength:  12
       dropCount:  39
       totalSent:  16021
        dropRate:  0.0024343

--- Hop Node Number:11 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8771
  rt_request_cnt:  17677
    receivedPkts:  8698
 receivedUniquePkts:  8606
   avgTput[kbps]:  117.955
    avgDelay[ms]:  71.6399
 max ACKed Seqno:  7884
       ACKs sent:  8700
   ACKs received:  8382
   avgPathLength:  12
       dropCount:  387
       totalSent:  17473
        dropRate:  0.0221485

--- Hop Node Number:11 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8613
  rt_request_cnt:  17352
    receivedPkts:  8539
 receivedUniquePkts:  8471
   avgTput[kbps]:  116.273
    avgDelay[ms]:  72.3525
 max ACKed Seqno:  7842
       ACKs sent:  8541
   ACKs received:  8426
   avgPathLength:  12
       dropCount:  188
       totalSent:  17156
        dropRate:  0.0109583

--- Hop Node Number:11 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8982
  rt_request_cnt:  18085
    receivedPkts:  8908
 receivedUniquePkts:  8895
   avgTput[kbps]:  121.903
    avgDelay[ms]:  73.4126
 max ACKed Seqno:  8390
       ACKs sent:  8910
   ACKs received:  8907
   avgPathLength:  12
       dropCount:  72
       totalSent:  17894
        dropRate:  0.0040237

--- Hop Node Number:11 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9073
  rt_request_cnt:  18273
    receivedPkts:  8990
 receivedUniquePkts:  8978
   avgTput[kbps]:  123.043
    avgDelay[ms]:  73.8599
 max ACKed Seqno:  8510
       ACKs sent:  8992
   ACKs received:  8990
   avgPathLength:  12
       dropCount:  81
       totalSent:  18067
        dropRate:  0.00448331

--- Hop Node Number:11 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8789
  rt_request_cnt:  17460
    receivedPkts:  8709
 receivedUniquePkts:  8568
   avgTput[kbps]:  117.424
    avgDelay[ms]:  74.8053
 max ACKed Seqno:  7553
       ACKs sent:  8711
   ACKs received:  8438
   avgPathLength:  12
       dropCount:  349
       totalSent:  17502
        dropRate:  0.0199406

--- Hop Node Number:11 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9176
  rt_request_cnt:  18488
    receivedPkts:  9088
 receivedUniquePkts:  9027
   avgTput[kbps]:  123.716
    avgDelay[ms]:  78.6228
 max ACKed Seqno:  8261
       ACKs sent:  9090
   ACKs received:  8968
   avgPathLength:  12
       dropCount:  190
       totalSent:  18268
        dropRate:  0.0104007

--- Hop Node Number:11 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9141
  rt_request_cnt:  18420
    receivedPkts:  9058
 receivedUniquePkts:  9044
   avgTput[kbps]:  124.161
    avgDelay[ms]:  78.8476
 max ACKed Seqno:  8371
       ACKs sent:  9060
   ACKs received:  9061
   avgPathLength:  12
       dropCount:  82
       totalSent:  18203
        dropRate:  0.00450475

--- Hop Node Number:11 ---

       startTime:  1
        stopTime:  300
        sentPkts:  9374
  rt_request_cnt:  18919
    receivedPkts:  9252
 receivedUniquePkts:  9200
   avgTput[kbps]:  126.082
    avgDelay[ms]:  87.6353
 max ACKed Seqno:  8322
       ACKs sent:  9254
   ACKs received:  9152
   avgPathLength:  12
       dropCount:  218
       totalSent:  18630
        dropRate:  0.0117016

--- Hop Node Number:11 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9470
  rt_request_cnt:  19111
    receivedPkts:  9357
 receivedUniquePkts:  9334
   avgTput[kbps]:  127.925
    avgDelay[ms]:  90.3816
 max ACKed Seqno:  8964
       ACKs sent:  9359
   ACKs received:  9355
   avgPathLength:  12
       dropCount:  108
       totalSent:  18831
        dropRate:  0.00573522

--- Hop Node Number:11 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9171
  rt_request_cnt:  18534
    receivedPkts:  9069
 receivedUniquePkts:  8980
   avgTput[kbps]:  123.068
    avgDelay[ms]:  88.1865
 max ACKed Seqno:  8497
       ACKs sent:  9071
   ACKs received:  8820
   avgPathLength:  12
       dropCount:  348
       totalSent:  18244
        dropRate:  0.0190748

--- Hop Node Number:11 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9405
  rt_request_cnt:  18984
    receivedPkts:  9272
 receivedUniquePkts:  9199
   avgTput[kbps]:  126.093
    avgDelay[ms]:  91.1061
 max ACKed Seqno:  8876
       ACKs sent:  9274
   ACKs received:  9090
   avgPathLength:  12
       dropCount:  317
       totalSent:  18681
        dropRate:  0.0169691

--- Hop Node Number:11 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9276
  rt_request_cnt:  18725
    receivedPkts:  9160
 receivedUniquePkts:  9131
   avgTput[kbps]:  125.146
    avgDelay[ms]:  88.9981
 max ACKed Seqno:  8688
       ACKs sent:  9162
   ACKs received:  9160
   avgPathLength:  12
       dropCount:  112
       totalSent:  18440
        dropRate:  0.00607375

--- Hop Node Number:11 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9178
  rt_request_cnt:  18457
    receivedPkts:  9052
 receivedUniquePkts:  9006
   avgTput[kbps]:  123.428
    avgDelay[ms]:  94.5305
 max ACKed Seqno:  8599
       ACKs sent:  9054
   ACKs received:  8968
   avgPathLength:  12
       dropCount:  206
       totalSent:  18234
        dropRate:  0.0112976

--- Hop Node Number:11 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9091
  rt_request_cnt:  18387
    receivedPkts:  8956
 receivedUniquePkts:  8886
   avgTput[kbps]:  121.785
    avgDelay[ms]:  91.7926
 max ACKed Seqno:  8329
       ACKs sent:  8958
   ACKs received:  8851
   avgPathLength:  12
       dropCount:  236
       totalSent:  18051
        dropRate:  0.0130741

--- Hop Node Number:11 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8845
  rt_request_cnt:  17888
    receivedPkts:  8721
 receivedUniquePkts:  8653
   avgTput[kbps]:  118.589
    avgDelay[ms]:  99.465
 max ACKed Seqno:  8119
       ACKs sent:  8723
   ACKs received:  8619
   avgPathLength:  12
       dropCount:  223
       totalSent:  17570
        dropRate:  0.0126921

--- Hop Node Number:11 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9491
  rt_request_cnt:  19171
    receivedPkts:  9358
 receivedUniquePkts:  9324
   avgTput[kbps]:  127.788
    avgDelay[ms]:  98.2489
 max ACKed Seqno:  8956
       ACKs sent:  9360
   ACKs received:  9356
   avgPathLength:  12
       dropCount:  129
       totalSent:  18853
        dropRate:  0.00684241

--- Hop Node Number:11 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9282
