Sun Nov  6 00:14:14 CST 2016
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5779
  rt_request_cnt:  11564
    receivedPkts:  5699
 receivedUniquePkts:  5694
   avgTput[kbps]:  78.058
    avgDelay[ms]:  115.954
 max ACKed Seqno:  3440
       ACKs sent:  5702
   ACKs received:  5701
   avgPathLength:  24
       dropCount:  78
       totalSent:  11485
        dropRate:  0.00679147

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8513
  rt_request_cnt:  16918
    receivedPkts:  8171
 receivedUniquePkts:  8122
   avgTput[kbps]:  111.347
    avgDelay[ms]:  137.245
 max ACKed Seqno:  5757
       ACKs sent:  8174
   ACKs received:  8145
   avgPathLength:  24
       dropCount:  359
       totalSent:  16692
        dropRate:  0.0215073

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  7188
  rt_request_cnt:  14222
    receivedPkts:  6791
 receivedUniquePkts:  6724
   avgTput[kbps]:  92.1783
    avgDelay[ms]:  209.616
 max ACKed Seqno:  3552
       ACKs sent:  6794
   ACKs received:  6765
   avgPathLength:  24
       dropCount:  424
       totalSent:  13985
        dropRate:  0.0303182

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  7080
  rt_request_cnt:  13970
    receivedPkts:  6573
 receivedUniquePkts:  6537
   avgTput[kbps]:  89.6418
    avgDelay[ms]:  161.539
 max ACKed Seqno:  3291
       ACKs sent:  6576
   ACKs received:  6570
   avgPathLength:  24
       dropCount:  512
       totalSent:  13659
        dropRate:  0.0374844

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  6282
  rt_request_cnt:  12434
    receivedPkts:  5930
 receivedUniquePkts:  5750
   avgTput[kbps]:  78.8512
    avgDelay[ms]:  182.78
 max ACKed Seqno:  4109
       ACKs sent:  5933
   ACKs received:  5817
   avgPathLength:  24
       dropCount:  454
       totalSent:  12218
        dropRate:  0.0371583

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  6522
  rt_request_cnt:  12760
    receivedPkts:  5923
 receivedUniquePkts:  5858
   avgTput[kbps]:  80.318
    avgDelay[ms]:  150.418
 max ACKed Seqno:  3228
       ACKs sent:  5926
   ACKs received:  5912
   avgPathLength:  24
       dropCount:  610
       totalSent:  12451
        dropRate:  0.048992

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  6527
  rt_request_cnt:  12836
    receivedPkts:  6037
 receivedUniquePkts:  6003
   avgTput[kbps]:  82.3198
    avgDelay[ms]:  151.274
 max ACKed Seqno:  4500
       ACKs sent:  6040
   ACKs received:  6026
   avgPathLength:  24
       dropCount:  504
       totalSent:  12570
        dropRate:  0.0400955

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  6231
  rt_request_cnt:  12274
    receivedPkts:  5748
 receivedUniquePkts:  5693
   avgTput[kbps]:  78.0486
    avgDelay[ms]:  159.576
 max ACKed Seqno:  3659
       ACKs sent:  5751
   ACKs received:  5737
   avgPathLength:  24
       dropCount:  496
       totalSent:  11985
        dropRate:  0.0413851

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5923
  rt_request_cnt:  11719
    receivedPkts:  5534
 receivedUniquePkts:  5467
   avgTput[kbps]:  74.9469
    avgDelay[ms]:  217.431
 max ACKed Seqno:  3965
       ACKs sent:  5537
   ACKs received:  5525
   avgPathLength:  24
       dropCount:  387
       totalSent:  11464
        dropRate:  0.0337579

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5347
  rt_request_cnt:  10549
    receivedPkts:  4982
 receivedUniquePkts:  4954
   avgTput[kbps]:  67.9754
    avgDelay[ms]:  163.907
 max ACKed Seqno:  4106
       ACKs sent:  4984
   ACKs received:  4975
   avgPathLength:  24
       dropCount:  374
       totalSent:  10333
        dropRate:  0.0361947

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4897
  rt_request_cnt:  9556
    receivedPkts:  4478
 receivedUniquePkts:  4456
   avgTput[kbps]:  61.0862
    avgDelay[ms]:  161.865
 max ACKed Seqno:  3719
       ACKs sent:  4480
   ACKs received:  4415
   avgPathLength:  24
       dropCount:  482
       totalSent:  9379
        dropRate:  0.0513914

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5132
  rt_request_cnt:  10103
    receivedPkts:  4748
 receivedUniquePkts:  4732
   avgTput[kbps]:  64.8851
    avgDelay[ms]:  172.772
 max ACKed Seqno:  4186
       ACKs sent:  4750
   ACKs received:  4736
   avgPathLength:  24
       dropCount:  398
       totalSent:  9884
        dropRate:  0.0402671

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4000
  rt_request_cnt:  7827
    receivedPkts:  3594
 receivedUniquePkts:  3528
   avgTput[kbps]:  48.3645
    avgDelay[ms]:  198.554
 max ACKed Seqno:  2333
       ACKs sent:  3596
   ACKs received:  3571
   avgPathLength:  24
       dropCount:  417
       totalSent:  7598
        dropRate:  0.0548829

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4642
  rt_request_cnt:  9053
    receivedPkts:  4188
 receivedUniquePkts:  4165
   avgTput[kbps]:  57.0974
    avgDelay[ms]:  143.373
 max ACKed Seqno:  2354
       ACKs sent:  4190
   ACKs received:  4185
   avgPathLength:  24
       dropCount:  457
       totalSent:  8834
        dropRate:  0.0517319

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4714
  rt_request_cnt:  9253
    receivedPkts:  4317
 receivedUniquePkts:  4302
   avgTput[kbps]:  58.9782
    avgDelay[ms]:  170.233
 max ACKed Seqno:  3514
       ACKs sent:  4319
   ACKs received:  4317
   avgPathLength:  24
       dropCount:  398
       totalSent:  9035
        dropRate:  0.0440509

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  2922
  rt_request_cnt:  5636
    receivedPkts:  2549
 receivedUniquePkts:  2535
   avgTput[kbps]:  34.7511
    avgDelay[ms]:  172.724
 max ACKed Seqno:  2060
       ACKs sent:  2551
   ACKs received:  2531
   avgPathLength:  24
       dropCount:  373
       totalSent:  5475
        dropRate:  0.0681279

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  3288
  rt_request_cnt:  6390
    receivedPkts:  2896
 receivedUniquePkts:  2852
   avgTput[kbps]:  39.1168
    avgDelay[ms]:  352.509
 max ACKed Seqno:  2207
       ACKs sent:  2898
   ACKs received:  2888
   avgPathLength:  24
       dropCount:  402
       totalSent:  6188
        dropRate:  0.0649644

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  3259
  rt_request_cnt:  6345
    receivedPkts:  2887
 receivedUniquePkts:  2846
   avgTput[kbps]:  39.0241
    avgDelay[ms]:  364.297
 max ACKed Seqno:  2170
       ACKs sent:  2889
   ACKs received:  2877
   avgPathLength:  24
       dropCount:  382
       totalSent:  6150
        dropRate:  0.0621138

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  3681
  rt_request_cnt:  7234
    receivedPkts:  3347
 receivedUniquePkts:  3316
   avgTput[kbps]:  45.4609
    avgDelay[ms]:  187.258
 max ACKed Seqno:  2515
       ACKs sent:  3349
   ACKs received:  3347
   avgPathLength:  24
       dropCount:  335
       totalSent:  7032
        dropRate:  0.0476394

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4271
  rt_request_cnt:  8230
    receivedPkts:  3655
 receivedUniquePkts:  3610
   avgTput[kbps]:  49.4973
    avgDelay[ms]:  179.687
 max ACKed Seqno:  1807
       ACKs sent:  3657
   ACKs received:  3657
   avgPathLength:  24
       dropCount:  615
       totalSent:  7930
        dropRate:  0.0775536

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4896
  rt_request_cnt:  9491
    receivedPkts:  4331
 receivedUniquePkts:  4303
   avgTput[kbps]:  58.9891
    avgDelay[ms]:  158.253
 max ACKed Seqno:  2193
       ACKs sent:  4333
   ACKs received:  4320
   avgPathLength:  24
       dropCount:  558
       totalSent:  9231
        dropRate:  0.0604485

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5657
  rt_request_cnt:  11038
    receivedPkts:  5092
 receivedUniquePkts:  5018
   avgTput[kbps]:  68.8034
    avgDelay[ms]:  149.487
 max ACKed Seqno:  2923
       ACKs sent:  5094
   ACKs received:  5079
   avgPathLength:  24
       dropCount:  579
       totalSent:  10753
        dropRate:  0.0538454

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5292
  rt_request_cnt:  10341
    receivedPkts:  4786
 receivedUniquePkts:  4747
   avgTput[kbps]:  65.0807
    avgDelay[ms]:  143.562
 max ACKed Seqno:  2502
       ACKs sent:  4788
   ACKs received:  4763
   avgPathLength:  24
       dropCount:  528
       totalSent:  10082
        dropRate:  0.0523706

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4791
  rt_request_cnt:  9272
