Sat Nov  5 18:41:32 CST 2016
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:2 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5154
  rt_request_cnt:  10324
    receivedPkts:  5150
 receivedUniquePkts:  5149
   avgTput[kbps]:  70.55
    avgDelay[ms]:  19.2715
 max ACKed Seqno:  3209
       ACKs sent:  5153
   ACKs received:  5153
   avgPathLength:  4
       dropCount:  4
       totalSent:  10310
        dropRate:  0.000387973

--- Hop Node Number:2 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8023
  rt_request_cnt:  16055
    receivedPkts:  8021
 receivedUniquePkts:  8021
   avgTput[kbps]:  109.91
    avgDelay[ms]:  19.2731
 max ACKed Seqno:  4375
       ACKs sent:  8023
   ACKs received:  8023
   avgPathLength:  4
       dropCount:  2
       totalSent:  16049
        dropRate:  0.000124618

--- Hop Node Number:2 ---

       startTime:  1
        stopTime:  299
        sentPkts:  12647
  rt_request_cnt:  25315
    receivedPkts:  12629
 receivedUniquePkts:  12624
   avgTput[kbps]:  172.968
    avgDelay[ms]:  21.4805
 max ACKed Seqno:  11754
       ACKs sent:  12631
   ACKs received:  12629
   avgPathLength:  4
       dropCount:  18
       totalSent:  25281
        dropRate:  0.000711997

--- Hop Node Number:2 ---

       startTime:  1
        stopTime:  299
        sentPkts:  11768
  rt_request_cnt:  23545
    receivedPkts:  11765
 receivedUniquePkts:  11765
   avgTput[kbps]:  161.196
    avgDelay[ms]:  20.6093
 max ACKed Seqno:  8137
       ACKs sent:  11767
   ACKs received:  11766
   avgPathLength:  4
       dropCount:  3
       totalSent:  23538
        dropRate:  0.000127453

--- Hop Node Number:2 ---

       startTime:  1
        stopTime:  299
        sentPkts:  13185
  rt_request_cnt:  26182
    receivedPkts:  13155
 receivedUniquePkts:  13003
   avgTput[kbps]:  178.156
    avgDelay[ms]:  23.9841
 max ACKed Seqno:  11537
       ACKs sent:  13157
   ACKs received:  12931
   avgPathLength:  4
       dropCount:  256
       totalSent:  26345
        dropRate:  0.00971721

--- Hop Node Number:2 ---

       startTime:  1
        stopTime:  299
        sentPkts:  13212
  rt_request_cnt:  26445
    receivedPkts:  13186
 receivedUniquePkts:  13177
   avgTput[kbps]:  180.548
    avgDelay[ms]:  23.5167
 max ACKed Seqno:  11463
       ACKs sent:  13188
   ACKs received:  13177
   avgPathLength:  4
       dropCount:  36
       totalSent:  26403
        dropRate:  0.00136348

--- Hop Node Number:2 ---

       startTime:  1
        stopTime:  299
        sentPkts:  13393
  rt_request_cnt:  26824
    receivedPkts:  13350
 receivedUniquePkts:  13344
   avgTput[kbps]:  182.832
    avgDelay[ms]:  25.81
 max ACKed Seqno:  12132
       ACKs sent:  13352
   ACKs received:  13346
   avgPathLength:  4
       dropCount:  48
       totalSent:  26748
        dropRate:  0.00179453

--- Hop Node Number:2 ---

       startTime:  1
        stopTime:  299
        sentPkts:  13719
  rt_request_cnt:  27486
    receivedPkts:  13660
 receivedUniquePkts:  13660
   avgTput[kbps]:  187.155
    avgDelay[ms]:  27.1383
 max ACKed Seqno:  12984
       ACKs sent:  13662
   ACKs received:  13660
   avgPathLength:  4
       dropCount:  61
       totalSent:  27384
        dropRate:  0.00222758

--- Hop Node Number:2 ---

       startTime:  1
        stopTime:  299
        sentPkts:  13320
  rt_request_cnt:  26675
    receivedPkts:  13283
 receivedUniquePkts:  13277
   avgTput[kbps]:  181.91
    avgDelay[ms]:  25.7071
 max ACKed Seqno:  11611
       ACKs sent:  13285
   ACKs received:  13278
   avgPathLength:  4
       dropCount:  43
       totalSent:  26608
        dropRate:  0.00161606

--- Hop Node Number:2 ---

       startTime:  1
        stopTime:  299
        sentPkts:  13807
  rt_request_cnt:  27659
    receivedPkts:  13749
 receivedUniquePkts:  13748
   avgTput[kbps]:  188.369
    avgDelay[ms]:  27.6513
 max ACKed Seqno:  13144
       ACKs sent:  13751
   ACKs received:  13746
   avgPathLength:  4
       dropCount:  61
       totalSent:  27561
        dropRate:  0.00221327

--- Hop Node Number:2 ---

       startTime:  1
        stopTime:  299
        sentPkts:  13575
  rt_request_cnt:  27185
    receivedPkts:  13527
 receivedUniquePkts:  13527
   avgTput[kbps]:  185.335
    avgDelay[ms]:  26.8
 max ACKed Seqno:  12813
       ACKs sent:  13529
   ACKs received:  13525
   avgPathLength:  4
       dropCount:  51
       totalSent:  27107
        dropRate:  0.00188143

--- Hop Node Number:2 ---

       startTime:  1
        stopTime:  300
        sentPkts:  13834
  rt_request_cnt:  27698
    receivedPkts:  13780
 receivedUniquePkts:  13780
   avgTput[kbps]:  188.798
    avgDelay[ms]:  26.3009
 max ACKed Seqno:  13184
       ACKs sent:  13782
   ACKs received:  13781
   avgPathLength:  4
       dropCount:  53
       totalSent:  27619
        dropRate:  0.00191897

--- Hop Node Number:2 ---

       startTime:  1
        stopTime:  299
        sentPkts:  13698
  rt_request_cnt:  27447
    receivedPkts:  13639
 receivedUniquePkts:  13632
   avgTput[kbps]:  186.771
    avgDelay[ms]:  29.901
 max ACKed Seqno:  12354
       ACKs sent:  13641
   ACKs received:  13634
   avgPathLength:  4
       dropCount:  64
       totalSent:  27342
        dropRate:  0.00234072

--- Hop Node Number:2 ---

       startTime:  1
        stopTime:  299
        sentPkts:  13655
  rt_request_cnt:  27356
    receivedPkts:  13597
 receivedUniquePkts:  13567
   avgTput[kbps]:  185.881
    avgDelay[ms]:  32.4453
 max ACKed Seqno:  10171
       ACKs sent:  13599
   ACKs received:  13579
   avgPathLength:  4
       dropCount:  75
       totalSent:  27257
        dropRate:  0.00275159

--- Hop Node Number:2 ---

       startTime:  1
        stopTime:  299
        sentPkts:  13798
  rt_request_cnt:  27644
    receivedPkts:  13728
 receivedUniquePkts:  13720
   avgTput[kbps]:  187.982
    avgDelay[ms]:  29.8793
 max ACKed Seqno:  12693
       ACKs sent:  13730
   ACKs received:  13725
   avgPathLength:  4
       dropCount:  75
       totalSent:  27531
        dropRate:  0.0027242

--- Hop Node Number:2 ---

       startTime:  1
        stopTime:  299
        sentPkts:  13894
  rt_request_cnt:  27833
    receivedPkts:  13840
 receivedUniquePkts:  13840
   avgTput[kbps]:  189.632
    avgDelay[ms]:  30.2681
 max ACKed Seqno:  13073
       ACKs sent:  13842
   ACKs received:  13835
   avgPathLength:  4
       dropCount:  61
       totalSent:  27739
        dropRate:  0.00219907

--- Hop Node Number:2 ---

       startTime:  1
        stopTime:  299
        sentPkts:  13830
  rt_request_cnt:  27705
    receivedPkts:  13780
 receivedUniquePkts:  13779
   avgTput[kbps]:  188.794
    avgDelay[ms]:  32.2615
 max ACKed Seqno:  12927
       ACKs sent:  13782
   ACKs received:  13772
   avgPathLength:  4
       dropCount:  59
       totalSent:  27615
        dropRate:  0.00213652

--- Hop Node Number:2 ---

       startTime:  1
        stopTime:  299
        sentPkts:  13858
  rt_request_cnt:  27742
    receivedPkts:  13801
 receivedUniquePkts:  13801
   avgTput[kbps]:  189.091
    avgDelay[ms]:  30.6886
 max ACKed Seqno:  12950
       ACKs sent:  13803
   ACKs received:  13801
   avgPathLength:  4
       dropCount:  57
       totalSent:  27664
        dropRate:  0.00206044

--- Hop Node Number:2 ---

       startTime:  1
        stopTime:  300
        sentPkts:  13455
  rt_request_cnt:  26971
    receivedPkts:  13355
 receivedUniquePkts:  13336
   avgTput[kbps]:  182.714
    avgDelay[ms]:  37.513
 max ACKed Seqno:  10170
       ACKs sent:  13357
   ACKs received:  13348
   avgPathLength:  4
       dropCount:  107
       totalSent:  26815
        dropRate:  0.0039903

--- Hop Node Number:2 ---

       startTime:  1
        stopTime:  299
        sentPkts:  13792
  rt_request_cnt:  27620
    receivedPkts:  13739
 receivedUniquePkts:  13736
   avgTput[kbps]:  188.207
    avgDelay[ms]:  31.9324
 max ACKed Seqno:  12812
       ACKs sent:  13741
   ACKs received:  13739
   avgPathLength:  4
       dropCount:  55
       totalSent:  27536
        dropRate:  0.00199739

--- Hop Node Number:2 ---

       startTime:  1
        stopTime:  299
        sentPkts:  13816
  rt_request_cnt:  27656
    receivedPkts:  13751
 receivedUniquePkts:  13748
   avgTput[kbps]:  188.37
    avgDelay[ms]:  31.9702
 max ACKed Seqno:  12713
       ACKs sent:  13753
   ACKs received:  13752
   avgPathLength:  4
       dropCount:  65
       totalSent:  27572
        dropRate:  0.00235746

--- Hop Node Number:2 ---

       startTime:  1
        stopTime:  299
        sentPkts:  13809
  rt_request_cnt:  27653
    receivedPkts:  13751
 receivedUniquePkts:  13746
   avgTput[kbps]:  188.34
    avgDelay[ms]:  33.9892
 max ACKed Seqno:  12847
       ACKs sent:  13753
   ACKs received:  13751
   avgPathLength:  4
       dropCount:  59
       totalSent:  27565
        dropRate:  0.0021404

--- Hop Node Number:2 ---

       startTime:  1
        stopTime:  299
        sentPkts:  13797
  rt_request_cnt:  27634
    receivedPkts:  13738
 receivedUniquePkts:  13736
   avgTput[kbps]:  188.202
    avgDelay[ms]:  34.9279
 max ACKed Seqno:  12906
       ACKs sent:  13740
   ACKs received:  13740
   avgPathLength:  4
       dropCount:  58
       totalSent:  27540
        dropRate:  0.00210603

--- Hop Node Number:2 ---

       startTime:  1
        stopTime:  299
        sentPkts:  13808
  rt_request_cnt:  27658
