Sat Nov  5 20:36:19 CST 2016
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:6 ---

       startTime:  1
        stopTime:  299
        sentPkts:  6751
  rt_request_cnt:  13538
    receivedPkts:  6679
 receivedUniquePkts:  6666
   avgTput[kbps]:  91.3664
    avgDelay[ms]:  64.9449
 max ACKed Seqno:  4616
       ACKs sent:  6681
   ACKs received:  6677
   avgPathLength:  12
       dropCount:  75
       totalSent:  13434
        dropRate:  0.00558285

--- Hop Node Number:6 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9119
  rt_request_cnt:  18265
    receivedPkts:  9010
 receivedUniquePkts:  8928
   avgTput[kbps]:  122.356
    avgDelay[ms]:  73.6297
 max ACKed Seqno:  5306
       ACKs sent:  9013
   ACKs received:  8910
   avgPathLength:  12
       dropCount:  205
       totalSent:  18135
        dropRate:  0.0113041

--- Hop Node Number:6 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10710
  rt_request_cnt:  21444
    receivedPkts:  10575
 receivedUniquePkts:  10552
   avgTput[kbps]:  144.618
    avgDelay[ms]:  76.218
 max ACKed Seqno:  10273
       ACKs sent:  10578
   ACKs received:  10557
   avgPathLength:  12
       dropCount:  151
       totalSent:  21292
        dropRate:  0.00709187

--- Hop Node Number:6 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10368
  rt_request_cnt:  20807
    receivedPkts:  10223
 receivedUniquePkts:  10199
   avgTput[kbps]:  139.777
    avgDelay[ms]:  87.0559
 max ACKed Seqno:  8751
       ACKs sent:  10226
   ACKs received:  10211
   avgPathLength:  12
       dropCount:  154
       totalSent:  20598
        dropRate:  0.00747645

--- Hop Node Number:6 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10542
  rt_request_cnt:  21150
    receivedPkts:  10405
 receivedUniquePkts:  10363
   avgTput[kbps]:  142.028
    avgDelay[ms]:  83.6002
 max ACKed Seqno:  10086
       ACKs sent:  10408
   ACKs received:  10381
   avgPathLength:  12
       dropCount:  164
       totalSent:  20956
        dropRate:  0.00782592

--- Hop Node Number:6 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10157
  rt_request_cnt:  20361
    receivedPkts:  10054
 receivedUniquePkts:  10035
   avgTput[kbps]:  137.531
    avgDelay[ms]:  84.0833
 max ACKed Seqno:  8198
       ACKs sent:  10057
   ACKs received:  10050
   avgPathLength:  12
       dropCount:  106
       totalSent:  20219
        dropRate:  0.00524259

--- Hop Node Number:6 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9919
  rt_request_cnt:  19849
    receivedPkts:  9788
 receivedUniquePkts:  9712
   avgTput[kbps]:  133.102
    avgDelay[ms]:  87.3394
 max ACKed Seqno:  7968
       ACKs sent:  9790
   ACKs received:  9689
   avgPathLength:  12
       dropCount:  230
       totalSent:  19713
        dropRate:  0.0116674

--- Hop Node Number:6 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10437
  rt_request_cnt:  20910
    receivedPkts:  10311
 receivedUniquePkts:  10304
   avgTput[kbps]:  141.214
    avgDelay[ms]:  86.0318
 max ACKed Seqno:  8244
       ACKs sent:  10314
   ACKs received:  10311
   avgPathLength:  12
       dropCount:  124
       totalSent:  20756
        dropRate:  0.00597418

--- Hop Node Number:6 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10231
  rt_request_cnt:  20517
    receivedPkts:  10061
 receivedUniquePkts:  10039
   avgTput[kbps]:  137.583
    avgDelay[ms]:  93.5301
 max ACKed Seqno:  9099
       ACKs sent:  10063
   ACKs received:  10059
   avgPathLength:  12
       dropCount:  173
       totalSent:  20297
        dropRate:  0.00852343

--- Hop Node Number:6 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10008
  rt_request_cnt:  20066
    receivedPkts:  9770
 receivedUniquePkts:  9740
   avgTput[kbps]:  133.49
    avgDelay[ms]:  97.572
 max ACKed Seqno:  9298
       ACKs sent:  9773
   ACKs received:  9762
   avgPathLength:  12
       dropCount:  239
       totalSent:  19784
        dropRate:  0.0120805

--- Hop Node Number:6 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10421
  rt_request_cnt:  20867
    receivedPkts:  10208
 receivedUniquePkts:  10185
   avgTput[kbps]:  139.588
    avgDelay[ms]:  95.39
 max ACKed Seqno:  9707
       ACKs sent:  10210
   ACKs received:  10206
   avgPathLength:  12
       dropCount:  212
       totalSent:  20634
        dropRate:  0.0102743

--- Hop Node Number:6 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10072
  rt_request_cnt:  20198
    receivedPkts:  9784
 receivedUniquePkts:  9735
   avgTput[kbps]:  133.428
    avgDelay[ms]:  98.6607
 max ACKed Seqno:  9138
       ACKs sent:  9786
   ACKs received:  9775
   avgPathLength:  12
       dropCount:  292
       totalSent:  19861
        dropRate:  0.0147022

--- Hop Node Number:6 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9988
  rt_request_cnt:  19987
    receivedPkts:  9704
 receivedUniquePkts:  9675
   avgTput[kbps]:  132.6
    avgDelay[ms]:  101.073
 max ACKed Seqno:  9158
       ACKs sent:  9706
   ACKs received:  9694
   avgPathLength:  12
       dropCount:  288
       totalSent:  19697
        dropRate:  0.0146215

--- Hop Node Number:6 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10009
  rt_request_cnt:  20077
    receivedPkts:  9789
 receivedUniquePkts:  9757
   avgTput[kbps]:  133.718
    avgDelay[ms]:  98.4899
 max ACKed Seqno:  8123
       ACKs sent:  9791
   ACKs received:  9778
   avgPathLength:  12
       dropCount:  230
       totalSent:  19803
        dropRate:  0.0116144

--- Hop Node Number:6 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10279
  rt_request_cnt:  20622
    receivedPkts:  10110
 receivedUniquePkts:  10088
   avgTput[kbps]:  138.258
    avgDelay[ms]:  97.3745
 max ACKed Seqno:  9711
       ACKs sent:  10113
   ACKs received:  10108
   avgPathLength:  12
       dropCount:  168
       totalSent:  20395
        dropRate:  0.00823731

--- Hop Node Number:6 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9481
  rt_request_cnt:  18915
    receivedPkts:  9216
 receivedUniquePkts:  9173
   avgTput[kbps]:  125.726
    avgDelay[ms]:  138.103
 max ACKed Seqno:  8361
       ACKs sent:  9218
   ACKs received:  9209
   avgPathLength:  12
       dropCount:  274
       totalSent:  18703
        dropRate:  0.0146501

--- Hop Node Number:6 ---

       startTime:  1
        stopTime:  300
        sentPkts:  9702
  rt_request_cnt:  19475
    receivedPkts:  9421
 receivedUniquePkts:  9367
   avgTput[kbps]:  128.371
    avgDelay[ms]:  106.241
 max ACKed Seqno:  8985
       ACKs sent:  9424
   ACKs received:  9395
   avgPathLength:  12
       dropCount:  303
       totalSent:  19129
        dropRate:  0.0158398

--- Hop Node Number:6 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10176
  rt_request_cnt:  20390
    receivedPkts:  9971
 receivedUniquePkts:  9954
   avgTput[kbps]:  136.429
    avgDelay[ms]:  105.784
 max ACKed Seqno:  9683
       ACKs sent:  9973
   ACKs received:  9963
   avgPathLength:  12
       dropCount:  208
       totalSent:  20153
        dropRate:  0.010321

--- Hop Node Number:6 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9926
  rt_request_cnt:  19933
    receivedPkts:  9696
 receivedUniquePkts:  9666
   avgTput[kbps]:  132.473
    avgDelay[ms]:  106.267
 max ACKed Seqno:  9270
       ACKs sent:  9698
   ACKs received:  9692
   avgPathLength:  12
       dropCount:  231
       totalSent:  19628
        dropRate:  0.0117689

--- Hop Node Number:6 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10092
  rt_request_cnt:  20225
    receivedPkts:  9812
 receivedUniquePkts:  9743
   avgTput[kbps]:  133.527
    avgDelay[ms]:  109.547
 max ACKed Seqno:  9383
       ACKs sent:  9814
   ACKs received:  9765
   avgPathLength:  12
       dropCount:  324
       totalSent:  19910
        dropRate:  0.0162732

--- Hop Node Number:6 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9984
  rt_request_cnt:  20054
    receivedPkts:  9769
 receivedUniquePkts:  9716
   avgTput[kbps]:  133.16
    avgDelay[ms]:  106.729
 max ACKed Seqno:  9441
       ACKs sent:  9771
   ACKs received:  9761
   avgPathLength:  12
       dropCount:  221
       totalSent:  19761
        dropRate:  0.0111836

--- Hop Node Number:6 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10121
  rt_request_cnt:  20232
    receivedPkts:  9916
 receivedUniquePkts:  9888
   avgTput[kbps]:  135.69
    avgDelay[ms]:  103.236
 max ACKed Seqno:  5818
       ACKs sent:  9918
   ACKs received:  9844
   avgPathLength:  12
       dropCount:  280
       totalSent:  20044
        dropRate:  0.0139693

--- Hop Node Number:6 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9700
  rt_request_cnt:  19451
    receivedPkts:  9417
 receivedUniquePkts:  9369
   avgTput[kbps]:  128.436
    avgDelay[ms]:  112.338
 max ACKed Seqno:  8949
       ACKs sent:  9419
   ACKs received:  9412
   avgPathLength:  12
       dropCount:  291
       totalSent:  19123
        dropRate:  0.0152173

--- Hop Node Number:6 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9820
  rt_request_cnt:  19675
    receivedPkts:  9495
