Sat Nov  5 19:46:50 CST 2016

          flowID:  0
         srcNode:  0
        destNode:  6
       startTime:  1
        stopTime:  299
        sentPkts:  9128
  max seqno sent:  9128
      Tcp retxed:  0
    receivedPkts:  9127
  receivedUnique:  9127
   avgTput[kbps]:  125.054
    avgDelay[ms]:  23.4037
 max ACKed Seqno:  9127
       ACKs sent:  9128
   ACKs received:  9128
     RTS(C) Sent:  54852

          flowID:  0
         srcNode:  0
        destNode:  6
       startTime:  1
        stopTime:  299
        sentPkts:  10004
  max seqno sent:  10004
      Tcp retxed:  0
    receivedPkts:  10003
  receivedUnique:  10003
   avgTput[kbps]:  137.051
    avgDelay[ms]:  26.0105
 max ACKed Seqno:  10002
       ACKs sent:  10004
   ACKs received:  10003
     RTS(C) Sent:  63533

          flowID:  0
         srcNode:  0
        destNode:  6
       startTime:  1
        stopTime:  299
        sentPkts:  9825
  max seqno sent:  9825
      Tcp retxed:  0
    receivedPkts:  9825
  receivedUnique:  9825
   avgTput[kbps]:  134.612
    avgDelay[ms]:  25.9314
 max ACKed Seqno:  9824
       ACKs sent:  9826
   ACKs received:  9825
     RTS(C) Sent:  62483

          flowID:  0
         srcNode:  0
        destNode:  6
       startTime:  1
        stopTime:  299
        sentPkts:  9865
  max seqno sent:  9865
      Tcp retxed:  0
    receivedPkts:  9864
  receivedUnique:  9864
   avgTput[kbps]:  135.152
    avgDelay[ms]:  26.3591
 max ACKed Seqno:  9864
       ACKs sent:  9865
   ACKs received:  9865
     RTS(C) Sent:  63767

          flowID:  0
         srcNode:  0
        destNode:  6
       startTime:  1
        stopTime:  299
        sentPkts:  12357
  max seqno sent:  12355
      Tcp retxed:  2
    receivedPkts:  12354
  receivedUnique:  12354
   avgTput[kbps]:  169.262
    avgDelay[ms]:  33.7643
 max ACKed Seqno:  12353
       ACKs sent:  12355
   ACKs received:  12354
     RTS(C) Sent:  95231

          flowID:  0
         srcNode:  0
        destNode:  6
       startTime:  1
        stopTime:  299
        sentPkts:  12170
  max seqno sent:  12170
      Tcp retxed:  0
    receivedPkts:  12169
  receivedUnique:  12169
   avgTput[kbps]:  166.727
    avgDelay[ms]:  34.8434
 max ACKed Seqno:  12168
       ACKs sent:  12170
   ACKs received:  12169
     RTS(C) Sent:  95977

          flowID:  0
         srcNode:  0
        destNode:  6
       startTime:  1
        stopTime:  299
        sentPkts:  12256
  max seqno sent:  12256
      Tcp retxed:  0
    receivedPkts:  12254
  receivedUnique:  12254
   avgTput[kbps]:  167.897
    avgDelay[ms]:  35.6547
 max ACKed Seqno:  12253
       ACKs sent:  12255
   ACKs received:  12254
     RTS(C) Sent:  97985

          flowID:  0
         srcNode:  0
        destNode:  6
       startTime:  1
        stopTime:  299
        sentPkts:  12323
  max seqno sent:  12316
      Tcp retxed:  7
    receivedPkts:  12316
  receivedUnique:  12315
   avgTput[kbps]:  168.727
    avgDelay[ms]:  37.571
 max ACKed Seqno:  12314
       ACKs sent:  12317
   ACKs received:  12316
     RTS(C) Sent:  102980

          flowID:  0
         srcNode:  0
        destNode:  6
       startTime:  1
        stopTime:  299
        sentPkts:  12406
  max seqno sent:  12399
      Tcp retxed:  7
    receivedPkts:  12397
  receivedUnique:  12397
   avgTput[kbps]:  169.854
    avgDelay[ms]:  35.7217
 max ACKed Seqno:  12396
       ACKs sent:  12398
   ACKs received:  12397
     RTS(C) Sent:  100047

          flowID:  0
         srcNode:  0
        destNode:  6
       startTime:  1
        stopTime:  299
        sentPkts:  12346
  max seqno sent:  12341
      Tcp retxed:  5
    receivedPkts:  12339
  receivedUnique:  12339
   avgTput[kbps]:  169.065
    avgDelay[ms]:  37.3072
 max ACKed Seqno:  12339
       ACKs sent:  12340
   ACKs received:  12337
     RTS(C) Sent:  102797

          flowID:  0
         srcNode:  0
        destNode:  6
       startTime:  1
        stopTime:  299
        sentPkts:  12391
  max seqno sent:  12391
      Tcp retxed:  0
    receivedPkts:  12390
  receivedUnique:  12390
   avgTput[kbps]:  169.757
    avgDelay[ms]:  38.9157
 max ACKed Seqno:  12388
       ACKs sent:  12391
   ACKs received:  12389
     RTS(C) Sent:  106270

          flowID:  0
         srcNode:  0
        destNode:  6
       startTime:  1
        stopTime:  299
        sentPkts:  12381
  max seqno sent:  12379
      Tcp retxed:  2
    receivedPkts:  12377
  receivedUnique:  12377
   avgTput[kbps]:  169.588
    avgDelay[ms]:  38.4255
 max ACKed Seqno:  12376
       ACKs sent:  12378
   ACKs received:  12377
     RTS(C) Sent:  105855

          flowID:  0
         srcNode:  0
        destNode:  6
       startTime:  1
        stopTime:  299
        sentPkts:  12438
  max seqno sent:  12428
      Tcp retxed:  10
    receivedPkts:  12426
  receivedUnique:  12426
   avgTput[kbps]:  170.256
    avgDelay[ms]:  39.2069
 max ACKed Seqno:  12425
       ACKs sent:  12427
   ACKs received:  12426
     RTS(C) Sent:  106960

          flowID:  0
         srcNode:  0
        destNode:  6
       startTime:  1
        stopTime:  299
        sentPkts:  12401
  max seqno sent:  12395
      Tcp retxed:  6
    receivedPkts:  12393
  receivedUnique:  12393
   avgTput[kbps]:  169.8
    avgDelay[ms]:  40.643
 max ACKed Seqno:  12391
       ACKs sent:  12394
   ACKs received:  12392
     RTS(C) Sent:  109376

          flowID:  0
         srcNode:  0
        destNode:  6
       startTime:  1
        stopTime:  299
        sentPkts:  12431
  max seqno sent:  12428
      Tcp retxed:  3
    receivedPkts:  12427
  receivedUnique:  12427
   avgTput[kbps]:  170.265
    avgDelay[ms]:  41.6302
 max ACKed Seqno:  12425
       ACKs sent:  12428
   ACKs received:  12426
     RTS(C) Sent:  111675

          flowID:  0
         srcNode:  0
        destNode:  6
       startTime:  1
        stopTime:  299
        sentPkts:  12271
  max seqno sent:  12261
      Tcp retxed:  10
    receivedPkts:  12261
  receivedUnique:  12259
   avgTput[kbps]:  167.966
    avgDelay[ms]:  43.3219
 max ACKed Seqno:  12258
       ACKs sent:  12262
   ACKs received:  12259
     RTS(C) Sent:  112467

          flowID:  0
         srcNode:  0
        destNode:  6
       startTime:  1
        stopTime:  299
        sentPkts:  12248
  max seqno sent:  12241
      Tcp retxed:  7
    receivedPkts:  12239
  receivedUnique:  12239
   avgTput[kbps]:  167.69
    avgDelay[ms]:  44.2965
 max ACKed Seqno:  12237
       ACKs sent:  12240
   ACKs received:  12238
     RTS(C) Sent:  113894

          flowID:  0
         srcNode:  0
        destNode:  6
       startTime:  1
        stopTime:  299
        sentPkts:  12180
  max seqno sent:  12171
      Tcp retxed:  9
    receivedPkts:  12168
  receivedUnique:  12168
   avgTput[kbps]:  166.727
    avgDelay[ms]:  47.2581
 max ACKed Seqno:  12167
       ACKs sent:  12169
   ACKs received:  12168
     RTS(C) Sent:  117393

          flowID:  0
         srcNode:  0
        destNode:  6
       startTime:  1
        stopTime:  300
        sentPkts:  12300
  max seqno sent:  12291
      Tcp retxed:  9
    receivedPkts:  12290
  receivedUnique:  12290
   avgTput[kbps]:  168.383
    avgDelay[ms]:  47.5379
 max ACKed Seqno:  12288
       ACKs sent:  12291
   ACKs received:  12289
     RTS(C) Sent:  119805

          flowID:  0
         srcNode:  0
        destNode:  6
       startTime:  1
        stopTime:  299
        sentPkts:  12173
  max seqno sent:  12150
      Tcp retxed:  23
    receivedPkts:  12152
  receivedUnique:  12149
   avgTput[kbps]:  166.459
