Sat Nov  5 20:13:42 CST 2016
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  7610
  rt_request_cnt:  15263
    receivedPkts:  7608
 receivedUniquePkts:  7608
   avgTput[kbps]:  104.3
    avgDelay[ms]:  35.2491
 max ACKed Seqno:  7002
       ACKs sent:  7611
   ACKs received:  7611
   avgPathLength:  8
       dropCount:  9
       totalSent:  15231
        dropRate:  0.0005909

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  7271
  rt_request_cnt:  14561
    receivedPkts:  7263
 receivedUniquePkts:  7262
   avgTput[kbps]:  99.5116
    avgDelay[ms]:  34.3217
 max ACKed Seqno:  5852
       ACKs sent:  7265
   ACKs received:  7264
   avgPathLength:  8
       dropCount:  8
       totalSent:  14539
        dropRate:  0.000550244

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  6436
  rt_request_cnt:  12893
    receivedPkts:  6426
 receivedUniquePkts:  6425
   avgTput[kbps]:  88.0502
    avgDelay[ms]:  34.2185
 max ACKed Seqno:  4820
       ACKs sent:  6428
   ACKs received:  6428
   avgPathLength:  8
       dropCount:  9
       totalSent:  12867
        dropRate:  0.000699464

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5947
  rt_request_cnt:  11913
    receivedPkts:  5941
 receivedUniquePkts:  5940
   avgTput[kbps]:  81.4045
    avgDelay[ms]:  35.8005
 max ACKed Seqno:  3674
       ACKs sent:  5943
   ACKs received:  5943
   avgPathLength:  8
       dropCount:  5
       totalSent:  11892
        dropRate:  0.000420451

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  6479
  rt_request_cnt:  12975
    receivedPkts:  6474
 receivedUniquePkts:  6473
   avgTput[kbps]:  88.7057
    avgDelay[ms]:  35.6479
 max ACKed Seqno:  3581
       ACKs sent:  6476
   ACKs received:  6476
   avgPathLength:  8
       dropCount:  4
       totalSent:  12957
        dropRate:  0.000308713

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8434
  rt_request_cnt:  16926
    receivedPkts:  8400
 receivedUniquePkts:  8396
   avgTput[kbps]:  115.05
    avgDelay[ms]:  41.0328
 max ACKed Seqno:  7373
       ACKs sent:  8403
   ACKs received:  8402
   avgPathLength:  8
       dropCount:  35
       totalSent:  16841
        dropRate:  0.00207826

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8842
  rt_request_cnt:  17782
    receivedPkts:  8780
 receivedUniquePkts:  8777
   avgTput[kbps]:  120.278
    avgDelay[ms]:  43.7048
 max ACKed Seqno:  7838
       ACKs sent:  8783
   ACKs received:  8782
   avgPathLength:  8
       dropCount:  61
       totalSent:  17629
        dropRate:  0.00346021

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9169
  rt_request_cnt:  18414
    receivedPkts:  9123
 receivedUniquePkts:  9117
   avgTput[kbps]:  124.928
    avgDelay[ms]:  43.2456
 max ACKed Seqno:  7419
       ACKs sent:  9125
   ACKs received:  9123
   avgPathLength:  8
       dropCount:  46
       totalSent:  18297
        dropRate:  0.00251407

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8399
  rt_request_cnt:  16918
    receivedPkts:  8341
 receivedUniquePkts:  8270
   avgTput[kbps]:  113.331
    avgDelay[ms]:  45.1469
 max ACKed Seqno:  7194
       ACKs sent:  8343
   ACKs received:  8218
   avgPathLength:  8
       dropCount:  182
       totalSent:  16745
        dropRate:  0.0108689

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9505
  rt_request_cnt:  19134
    receivedPkts:  9433
 receivedUniquePkts:  9366
   avgTput[kbps]:  128.343
    avgDelay[ms]:  47.1846
 max ACKed Seqno:  8046
       ACKs sent:  9436
   ACKs received:  9314
   avgPathLength:  8
       dropCount:  192
       totalSent:  18945
        dropRate:  0.0101346

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  300
        sentPkts:  9882
  rt_request_cnt:  19891
    receivedPkts:  9811
 receivedUniquePkts:  9742
   avgTput[kbps]:  133.492
    avgDelay[ms]:  52.2631
 max ACKed Seqno:  6860
       ACKs sent:  9814
   ACKs received:  9687
   avgPathLength:  8
       dropCount:  195
       totalSent:  19699
        dropRate:  0.00989898

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10399
  rt_request_cnt:  20915
    receivedPkts:  10320
 receivedUniquePkts:  10314
   avgTput[kbps]:  141.34
    avgDelay[ms]:  51.9511
 max ACKed Seqno:  9521
       ACKs sent:  10323
   ACKs received:  10322
   avgPathLength:  8
       dropCount:  77
       totalSent:  20725
        dropRate:  0.00371532

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10593
  rt_request_cnt:  21318
    receivedPkts:  10508
 receivedUniquePkts:  10498
   avgTput[kbps]:  143.857
    avgDelay[ms]:  55.3684
 max ACKed Seqno:  9632
       ACKs sent:  10511
   ACKs received:  10510
   avgPathLength:  8
       dropCount:  83
       totalSent:  21107
        dropRate:  0.00393234

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10352
  rt_request_cnt:  20852
    receivedPkts:  10249
 receivedUniquePkts:  10235
   avgTput[kbps]:  140.256
    avgDelay[ms]:  54.354
 max ACKed Seqno:  9429
       ACKs sent:  10252
   ACKs received:  10251
   avgPathLength:  8
       dropCount:  100
       totalSent:  20607
        dropRate:  0.00485272

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10468
  rt_request_cnt:  21093
    receivedPkts:  10367
 receivedUniquePkts:  10351
   avgTput[kbps]:  141.837
    avgDelay[ms]:  58.2053
 max ACKed Seqno:  9613
       ACKs sent:  10369
   ACKs received:  10367
   avgPathLength:  8
       dropCount:  98
       totalSent:  20839
        dropRate:  0.00470272

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10712
  rt_request_cnt:  21565
    receivedPkts:  10614
 receivedUniquePkts:  10605
   avgTput[kbps]:  145.326
    avgDelay[ms]:  58.3611
 max ACKed Seqno:  9992
       ACKs sent:  10616
   ACKs received:  10615
   avgPathLength:  8
       dropCount:  95
       totalSent:  21330
        dropRate:  0.00445382

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10751
  rt_request_cnt:  21655
    receivedPkts:  10647
 receivedUniquePkts:  10635
   avgTput[kbps]:  145.734
    avgDelay[ms]:  61.5079
 max ACKed Seqno:  10111
       ACKs sent:  10649
   ACKs received:  10648
   avgPathLength:  8
       dropCount:  102
       totalSent:  21402
        dropRate:  0.00476591

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10289
  rt_request_cnt:  20756
    receivedPkts:  10181
 receivedUniquePkts:  10046
   avgTput[kbps]:  137.665
    avgDelay[ms]:  65.2675
 max ACKed Seqno:  9627
       ACKs sent:  10183
   ACKs received:  9917
   avgPathLength:  8
       dropCount:  370
       totalSent:  20474
        dropRate:  0.0180717

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10628
  rt_request_cnt:  21422
    receivedPkts:  10516
 receivedUniquePkts:  10489
   avgTput[kbps]:  143.737
    avgDelay[ms]:  65.2282
 max ACKed Seqno:  9909
       ACKs sent:  10519
   ACKs received:  10487
   avgPathLength:  8
       dropCount:  140
       totalSent:  21150
        dropRate:  0.00661939

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10645
  rt_request_cnt:  21458
    receivedPkts:  10537
 receivedUniquePkts:  10458
   avgTput[kbps]:  143.321
    avgDelay[ms]:  63.8838
 max ACKed Seqno:  9962
       ACKs sent:  10540
   ACKs received:  10421
   avgPathLength:  8
       dropCount:  227
       totalSent:  21189
        dropRate:  0.0107131

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10671
  rt_request_cnt:  21514
    receivedPkts:  10567
 receivedUniquePkts:  10532
   avgTput[kbps]:  144.328
    avgDelay[ms]:  65.7754
 max ACKed Seqno:  9940
       ACKs sent:  10570
   ACKs received:  10567
   avgPathLength:  8
       dropCount:  103
       totalSent:  21245
        dropRate:  0.0048482

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  300
        sentPkts:  10697
  rt_request_cnt:  21553
    receivedPkts:  10592
 receivedUniquePkts:  10575
   avgTput[kbps]:  144.906
    avgDelay[ms]:  63.4794
 max ACKed Seqno:  10112
       ACKs sent:  10595
   ACKs received:  10593
   avgPathLength:  8
       dropCount:  102
       totalSent:  21296
        dropRate:  0.00478963

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10659
  rt_request_cnt:  21497
    receivedPkts:  10548
 receivedUniquePkts:  10516
   avgTput[kbps]:  144.104
    avgDelay[ms]:  67.6091
 max ACKed Seqno:  10083
       ACKs sent:  10551
   ACKs received:  10550
   avgPathLength:  8
       dropCount:  109
       totalSent:  21214
        dropRate:  0.00513812

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10889
