Sat Nov  5 22:35:19 CST 2016

          flowID:  0
         srcNode:  0
        destNode:  12
       startTime:  1
        stopTime:  299
        sentPkts:  7297
  max seqno sent:  7297
      Tcp retxed:  0
    receivedPkts:  7296
  receivedUnique:  7296
   avgTput[kbps]:  99.9969
    avgDelay[ms]:  51.5473
 max ACKed Seqno:  7295
       ACKs sent:  7297
   ACKs received:  7296
     RTS(C) Sent:  92371

          flowID:  0
         srcNode:  0
        destNode:  12
       startTime:  1
        stopTime:  299
        sentPkts:  10661
  max seqno sent:  10650
      Tcp retxed:  11
    receivedPkts:  10654
  receivedUnique:  10648
   avgTput[kbps]:  145.938
    avgDelay[ms]:  62.6964
 max ACKed Seqno:  10603
       ACKs sent:  10655
   ACKs received:  10604
     RTS(C) Sent:  149977

          flowID:  0
         srcNode:  0
        destNode:  12
       startTime:  1
        stopTime:  299
        sentPkts:  10360
  max seqno sent:  10341
      Tcp retxed:  19
    receivedPkts:  10339
  receivedUnique:  10338
   avgTput[kbps]:  141.688
    avgDelay[ms]:  68.2022
 max ACKed Seqno:  10335
       ACKs sent:  10340
   ACKs received:  10337
     RTS(C) Sent:  153416

          flowID:  0
         srcNode:  0
        destNode:  12
       startTime:  1
        stopTime:  299
        sentPkts:  10606
  max seqno sent:  10568
      Tcp retxed:  38
    receivedPkts:  10567
  receivedUnique:  10566
   avgTput[kbps]:  144.804
    avgDelay[ms]:  75.3774
 max ACKed Seqno:  10562
       ACKs sent:  10568
   ACKs received:  10564
     RTS(C) Sent:  167605

          flowID:  0
         srcNode:  0
        destNode:  12
       startTime:  1
        stopTime:  299
        sentPkts:  10630
  max seqno sent:  10580
      Tcp retxed:  50
    receivedPkts:  10583
  receivedUnique:  10577
   avgTput[kbps]:  144.967
    avgDelay[ms]:  75.9556
 max ACKed Seqno:  10575
       ACKs sent:  10584
   ACKs received:  10582
     RTS(C) Sent:  168806

          flowID:  0
         srcNode:  0
        destNode:  12
       startTime:  1
        stopTime:  299
        sentPkts:  10623
  max seqno sent:  10575
      Tcp retxed:  48
    receivedPkts:  10576
  receivedUnique:  10572
   avgTput[kbps]:  144.897
    avgDelay[ms]:  80.697
 max ACKed Seqno:  10570
       ACKs sent:  10577
   ACKs received:  10575
     RTS(C) Sent:  175492

          flowID:  0
         srcNode:  0
        destNode:  12
       startTime:  1
        stopTime:  299
        sentPkts:  10651
  max seqno sent:  10582
      Tcp retxed:  69
    receivedPkts:  10583
  receivedUnique:  10580
   avgTput[kbps]:  144.996
    avgDelay[ms]:  80.8859
 max ACKed Seqno:  10578
       ACKs sent:  10584
   ACKs received:  10582
     RTS(C) Sent:  175922

          flowID:  0
         srcNode:  0
        destNode:  12
       startTime:  1
        stopTime:  299
        sentPkts:  10642
  max seqno sent:  10576
      Tcp retxed:  66
    receivedPkts:  10576
  receivedUnique:  10572
   avgTput[kbps]:  144.897
    avgDelay[ms]:  82.5268
 max ACKed Seqno:  10569
       ACKs sent:  10577
   ACKs received:  10574
     RTS(C) Sent:  178103

          flowID:  0
         srcNode:  0
        destNode:  12
       startTime:  1
        stopTime:  299
        sentPkts:  10595
  max seqno sent:  10540
      Tcp retxed:  55
    receivedPkts:  10540
  receivedUnique:  10537
   avgTput[kbps]:  144.414
    avgDelay[ms]:  81.6177
 max ACKed Seqno:  10534
       ACKs sent:  10541
   ACKs received:  10538
     RTS(C) Sent:  176006

          flowID:  0
         srcNode:  0
        destNode:  12
       startTime:  1
        stopTime:  299
        sentPkts:  10602
  max seqno sent:  10531
      Tcp retxed:  71
    receivedPkts:  10536
  receivedUnique:  10528
   avgTput[kbps]:  144.289
    avgDelay[ms]:  83.175
 max ACKed Seqno:  10527
       ACKs sent:  10537
   ACKs received:  10536
     RTS(C) Sent:  178472

          flowID:  0
         srcNode:  0
        destNode:  12
       startTime:  1
        stopTime:  300
        sentPkts:  10660
  max seqno sent:  10584
      Tcp retxed:  76
    receivedPkts:  10585
  receivedUnique:  10582
   avgTput[kbps]:  145.021
    avgDelay[ms]:  86.8275
 max ACKed Seqno:  10580
       ACKs sent:  10586
   ACKs received:  10584
     RTS(C) Sent:  184213

          flowID:  0
         srcNode:  0
        destNode:  12
       startTime:  1
        stopTime:  299
        sentPkts:  10617
  max seqno sent:  10549
      Tcp retxed:  68
    receivedPkts:  10549
  receivedUnique:  10546
   avgTput[kbps]:  144.53
    avgDelay[ms]:  85.5136
 max ACKed Seqno:  10542
       ACKs sent:  10550
   ACKs received:  10546
     RTS(C) Sent:  182170

          flowID:  0
         srcNode:  0
        destNode:  12
       startTime:  1
        stopTime:  300
        sentPkts:  10420
  max seqno sent:  10301
      Tcp retxed:  119
    receivedPkts:  10305
  receivedUnique:  10299
   avgTput[kbps]:  141.143
    avgDelay[ms]:  90.877
 max ACKed Seqno:  10296
       ACKs sent:  10306
   ACKs received:  10303
     RTS(C) Sent:  184763

          flowID:  0
         srcNode:  0
        destNode:  12
       startTime:  1
        stopTime:  299
        sentPkts:  10440
  max seqno sent:  10320
      Tcp retxed:  120
    receivedPkts:  10325
  receivedUnique:  10316
   avgTput[kbps]:  141.384
    avgDelay[ms]:  92.3755
 max ACKed Seqno:  10310
       ACKs sent:  10326
   ACKs received:  10320
     RTS(C) Sent:  186817

          flowID:  0
         srcNode:  0
        destNode:  12
       startTime:  1
        stopTime:  299
        sentPkts:  10098
  max seqno sent:  9955
      Tcp retxed:  143
    receivedPkts:  10002
  receivedUnique:  9949
   avgTput[kbps]:  136.352
    avgDelay[ms]:  93.9553
 max ACKed Seqno:  9906
       ACKs sent:  10003
   ACKs received:  9893
     RTS(C) Sent:  182374

          flowID:  0
         srcNode:  0
        destNode:  12
       startTime:  1
        stopTime:  299
        sentPkts:  10439
  max seqno sent:  10338
      Tcp retxed:  101
    receivedPkts:  10345
  receivedUnique:  10337
   avgTput[kbps]:  141.668
    avgDelay[ms]:  95.4124
 max ACKed Seqno:  10336
       ACKs sent:  10346
   ACKs received:  10345
     RTS(C) Sent:  190785

          flowID:  0
         srcNode:  0
        destNode:  12
       startTime:  1
        stopTime:  299
        sentPkts:  10523
  max seqno sent:  10411
      Tcp retxed:  112
    receivedPkts:  10418
  receivedUnique:  10406
   avgTput[kbps]:  142.619
    avgDelay[ms]:  95.2832
 max ACKed Seqno:  10403
       ACKs sent:  10419
   ACKs received:  10416
     RTS(C) Sent:  192407

          flowID:  0
         srcNode:  0
        destNode:  12
       startTime:  1
        stopTime:  299
        sentPkts:  10538
  max seqno sent:  10436
      Tcp retxed:  102
    receivedPkts:  10441
  receivedUnique:  10433
   avgTput[kbps]:  142.984
    avgDelay[ms]:  95.6371
 max ACKed Seqno:  10430
       ACKs sent:  10442
   ACKs received:  10439
     RTS(C) Sent:  193343

          flowID:  0
         srcNode:  0
        destNode:  12
       startTime:  1
        stopTime:  299
        sentPkts:  10353
  max seqno sent:  10228
      Tcp retxed:  125
    receivedPkts:  10231
  receivedUnique:  10224
   avgTput[kbps]:  140.119
    avgDelay[ms]:  98.1729
 max ACKed Seqno:  10222
       ACKs sent:  10232
   ACKs received:  10230
     RTS(C) Sent:  192311

          flowID:  0
         srcNode:  0
        destNode:  12
       startTime:  1
        stopTime:  299
        sentPkts:  10307
  max seqno sent:  10177
      Tcp retxed:  130
    receivedPkts:  10190
  receivedUnique:  10174
   avgTput[kbps]:  139.435
