Sat Nov  5 21:16:52 CST 2016
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8401
  rt_request_cnt:  16810
    receivedPkts:  8296
 receivedUniquePkts:  8287
   avgTput[kbps]:  113.591
    avgDelay[ms]:  72.5779
 max ACKed Seqno:  7906
       ACKs sent:  8298
   ACKs received:  8292
   avgPathLength:  14
       dropCount:  109
       totalSent:  16701
        dropRate:  0.00652656

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  7725
  rt_request_cnt:  15476
    receivedPkts:  7640
 receivedUniquePkts:  7622
   avgTput[kbps]:  104.472
    avgDelay[ms]:  79.0425
 max ACKed Seqno:  6799
       ACKs sent:  7642
   ACKs received:  7640
   avgPathLength:  14
       dropCount:  82
       totalSent:  15369
        dropRate:  0.00533542

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8749
  rt_request_cnt:  17511
    receivedPkts:  8651
 receivedUniquePkts:  8638
   avgTput[kbps]:  118.398
    avgDelay[ms]:  83.327
 max ACKed Seqno:  8255
       ACKs sent:  8653
   ACKs received:  8647
   avgPathLength:  14
       dropCount:  102
       totalSent:  17404
        dropRate:  0.00586072

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9492
  rt_request_cnt:  19001
    receivedPkts:  9280
 receivedUniquePkts:  9240
   avgTput[kbps]:  126.658
    avgDelay[ms]:  95.0235
 max ACKed Seqno:  8386
       ACKs sent:  9282
   ACKs received:  9264
   avgPathLength:  14
       dropCount:  226
       totalSent:  18776
        dropRate:  0.0120366

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10106
  rt_request_cnt:  20258
    receivedPkts:  9966
 receivedUniquePkts:  9947
   avgTput[kbps]:  136.345
    avgDelay[ms]:  96.3482
 max ACKed Seqno:  7495
       ACKs sent:  9969
   ACKs received:  9960
   avgPathLength:  14
       dropCount:  145
       totalSent:  20080
        dropRate:  0.00722112

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10045
  rt_request_cnt:  20153
    receivedPkts:  9898
 receivedUniquePkts:  9874
   avgTput[kbps]:  135.342
    avgDelay[ms]:  102.559
 max ACKed Seqno:  8532
       ACKs sent:  9901
   ACKs received:  9893
   avgPathLength:  14
       dropCount:  146
       totalSent:  19950
        dropRate:  0.0073183

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  300
        sentPkts:  8962
  rt_request_cnt:  17752
    receivedPkts:  8733
 receivedUniquePkts:  8579
   avgTput[kbps]:  117.588
    avgDelay[ms]:  104.145
 max ACKed Seqno:  6806
       ACKs sent:  8735
   ACKs received:  8476
   avgPathLength:  14
       dropCount:  478
       totalSent:  17700
        dropRate:  0.0270056

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  10267
  rt_request_cnt:  20515
    receivedPkts:  10130
 receivedUniquePkts:  10088
   avgTput[kbps]:  138.278
    avgDelay[ms]:  102.623
 max ACKed Seqno:  9712
       ACKs sent:  10133
   ACKs received:  9969
   avgPathLength:  14
       dropCount:  297
       totalSent:  20404
        dropRate:  0.014556

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9932
  rt_request_cnt:  19911
    receivedPkts:  9704
 receivedUniquePkts:  9672
   avgTput[kbps]:  132.583
    avgDelay[ms]:  108.012
 max ACKed Seqno:  9148
       ACKs sent:  9707
   ACKs received:  9697
   avgPathLength:  14
       dropCount:  231
       totalSent:  19642
        dropRate:  0.0117605

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9741
  rt_request_cnt:  19485
    receivedPkts:  9527
 receivedUniquePkts:  9519
   avgTput[kbps]:  130.478
    avgDelay[ms]:  102.149
 max ACKed Seqno:  9119
       ACKs sent:  9530
   ACKs received:  9522
   avgPathLength:  14
       dropCount:  217
       totalSent:  19276
        dropRate:  0.0112575

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9257
  rt_request_cnt:  18504
    receivedPkts:  8973
 receivedUniquePkts:  8943
   avgTput[kbps]:  122.587
    avgDelay[ms]:  109.519
 max ACKed Seqno:  8120
       ACKs sent:  8976
   ACKs received:  8969
   avgPathLength:  14
       dropCount:  287
       totalSent:  18237
        dropRate:  0.0157372

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9794
  rt_request_cnt:  19578
    receivedPkts:  9556
 receivedUniquePkts:  9477
   avgTput[kbps]:  129.897
    avgDelay[ms]:  111.598
 max ACKed Seqno:  8988
       ACKs sent:  9559
   ACKs received:  9463
   avgPathLength:  14
       dropCount:  327
       totalSent:  19357
        dropRate:  0.0168931

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9569
  rt_request_cnt:  19170
    receivedPkts:  9277
 receivedUniquePkts:  9216
   avgTput[kbps]:  126.323
    avgDelay[ms]:  110.228
 max ACKed Seqno:  6802
       ACKs sent:  9280
   ACKs received:  9182
   avgPathLength:  14
       dropCount:  385
       totalSent:  18854
        dropRate:  0.0204201

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9336
  rt_request_cnt:  18696
    receivedPkts:  9040
 receivedUniquePkts:  9009
   avgTput[kbps]:  123.487
    avgDelay[ms]:  116.447
 max ACKed Seqno:  7192
       ACKs sent:  9042
   ACKs received:  9040
   avgPathLength:  14
       dropCount:  297
       totalSent:  18382
        dropRate:  0.0161571

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  300
        sentPkts:  9541
  rt_request_cnt:  19125
    receivedPkts:  9313
 receivedUniquePkts:  9289
   avgTput[kbps]:  127.319
    avgDelay[ms]:  116.438
 max ACKed Seqno:  8874
       ACKs sent:  9316
   ACKs received:  9306
   avgPathLength:  14
       dropCount:  232
       totalSent:  18862
        dropRate:  0.0122999

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9549
  rt_request_cnt:  19140
    receivedPkts:  9326
 receivedUniquePkts:  9283
   avgTput[kbps]:  127.243
    avgDelay[ms]:  116.042
 max ACKed Seqno:  7627
       ACKs sent:  9329
   ACKs received:  9321
   avgPathLength:  14
       dropCount:  222
       totalSent:  18882
        dropRate:  0.0117572

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9542
  rt_request_cnt:  19129
    receivedPkts:  9248
 receivedUniquePkts:  9183
   avgTput[kbps]:  125.87
    avgDelay[ms]:  122.011
 max ACKed Seqno:  8710
       ACKs sent:  9251
   ACKs received:  9237
   avgPathLength:  14
       dropCount:  298
       totalSent:  18796
        dropRate:  0.0158544

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9922
  rt_request_cnt:  19895
    receivedPkts:  9662
 receivedUniquePkts:  9596
   avgTput[kbps]:  131.543
    avgDelay[ms]:  127.663
 max ACKed Seqno:  9228
       ACKs sent:  9665
   ACKs received:  9609
   avgPathLength:  14
       dropCount:  308
       totalSent:  19590
        dropRate:  0.0157223

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8834
  rt_request_cnt:  17665
    receivedPkts:  8412
 receivedUniquePkts:  8339
   avgTput[kbps]:  114.301
    avgDelay[ms]:  125.232
 max ACKed Seqno:  7470
       ACKs sent:  8415
   ACKs received:  8398
   avgPathLength:  14
       dropCount:  435
       totalSent:  17252
        dropRate:  0.0252145

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9282
  rt_request_cnt:  18595
    receivedPkts:  8933
 receivedUniquePkts:  8887
   avgTput[kbps]:  121.844
    avgDelay[ms]:  129.257
 max ACKed Seqno:  8353
       ACKs sent:  8935
   ACKs received:  8928
   avgPathLength:  14
       dropCount:  353
       totalSent:  18219
        dropRate:  0.0193754

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8627
  rt_request_cnt:  17284
    receivedPkts:  8264
 receivedUniquePkts:  8207
   avgTput[kbps]:  112.494
    avgDelay[ms]:  124.2
 max ACKed Seqno:  7250
       ACKs sent:  8266
   ACKs received:  8210
   avgPathLength:  14
       dropCount:  410
       totalSent:  16895
        dropRate:  0.0242675

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  9188
  rt_request_cnt:  18443
    receivedPkts:  8830
 receivedUniquePkts:  8792
   avgTput[kbps]:  120.509
    avgDelay[ms]:  130.441
 max ACKed Seqno:  8348
       ACKs sent:  8832
   ACKs received:  8824
   avgPathLength:  14
       dropCount:  359
       totalSent:  18022
        dropRate:  0.0199201

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8924
  rt_request_cnt:  17891
    receivedPkts:  8546
 receivedUniquePkts:  8511
   avgTput[kbps]:  116.663
    avgDelay[ms]:  126.77
 max ACKed Seqno:  7965
       ACKs sent:  8548
   ACKs received:  8535
   avgPathLength:  14
       dropCount:  382
       totalSent:  17474
        dropRate:  0.0218611

--- Hop Node Number:7 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8558
  rt_request_cnt:  17147
    receivedPkts:  8194
