Sat Nov  5 21:10:46 CST 2016
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  2479
  rt_request_cnt:  4992
    receivedPkts:  2455
 receivedUniquePkts:  2446
   avgTput[kbps]:  33.532
    avgDelay[ms]:  108.038
 max ACKed Seqno:  1245
       ACKs sent:  2457
   ACKs received:  2449
   avgPathLength:  12.0265
       dropCount:  34
       totalSent:  4939
        dropRate:  0.00688398

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4869
  rt_request_cnt:  9810
    receivedPkts:  4789
 receivedUniquePkts:  4708
   avgTput[kbps]:  64.5252
    avgDelay[ms]:  123.165
 max ACKed Seqno:  3223
       ACKs sent:  4791
   ACKs received:  4789
   avgPathLength:  11.7269
       dropCount:  80
       totalSent:  9663
        dropRate:  0.008279

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4059
  rt_request_cnt:  8159
    receivedPkts:  4014
 receivedUniquePkts:  4008
   avgTput[kbps]:  54.9338
    avgDelay[ms]:  100.403
 max ACKed Seqno:  2341
       ACKs sent:  4016
   ACKs received:  4007
   avgPathLength:  12.0256
       dropCount:  55
       totalSent:  8078
        dropRate:  0.00680862

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4787
  rt_request_cnt:  9663
    receivedPkts:  4686
 receivedUniquePkts:  4649
   avgTput[kbps]:  63.7197
    avgDelay[ms]:  155.56
 max ACKed Seqno:  2950
       ACKs sent:  4688
   ACKs received:  4677
   avgPathLength:  11.7327
       dropCount:  112
       totalSent:  9478
        dropRate:  0.0118168

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4107
  rt_request_cnt:  8245
    receivedPkts:  4085
 receivedUniquePkts:  4079
   avgTput[kbps]:  55.9032
    avgDelay[ms]:  90.9041
 max ACKed Seqno:  2386
       ACKs sent:  4087
   ACKs received:  4084
   avgPathLength:  11.7994
       dropCount:  24
       totalSent:  8197
        dropRate:  0.0029279

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4418
  rt_request_cnt:  8883
    receivedPkts:  4278
 receivedUniquePkts:  4251
   avgTput[kbps]:  58.2623
    avgDelay[ms]:  113.202
 max ACKed Seqno:  3694
       ACKs sent:  4280
   ACKs received:  4279
   avgPathLength:  11.9805
       dropCount:  141
       totalSent:  8701
        dropRate:  0.016205

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4148
  rt_request_cnt:  8396
    receivedPkts:  4033
 receivedUniquePkts:  4003
   avgTput[kbps]:  54.8607
    avgDelay[ms]:  122.476
 max ACKed Seqno:  3348
       ACKs sent:  4035
   ACKs received:  4023
   avgPathLength:  12.1854
       dropCount:  126
       totalSent:  8186
        dropRate:  0.0153921

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4873
  rt_request_cnt:  9920
    receivedPkts:  4613
 receivedUniquePkts:  4554
   avgTput[kbps]:  62.4178
    avgDelay[ms]:  204.675
 max ACKed Seqno:  2513
       ACKs sent:  4615
   ACKs received:  4595
   avgPathLength:  12.3457
       dropCount:  280
       totalSent:  9491
        dropRate:  0.0295016

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4619
  rt_request_cnt:  9327
    receivedPkts:  4499
 receivedUniquePkts:  4456
   avgTput[kbps]:  61.1001
    avgDelay[ms]:  121.756
 max ACKed Seqno:  4017
       ACKs sent:  4501
   ACKs received:  4420
   avgPathLength:  12.4131
       dropCount:  202
       totalSent:  9123
        dropRate:  0.0221418

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  3928
  rt_request_cnt:  7945
    receivedPkts:  3809
 receivedUniquePkts:  3759
   avgTput[kbps]:  51.529
    avgDelay[ms]:  124.828
 max ACKed Seqno:  3118
       ACKs sent:  3811
   ACKs received:  3809
   avgPathLength:  12.2934
       dropCount:  120
       totalSent:  7742
        dropRate:  0.0154999

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5730
  rt_request_cnt:  11577
    receivedPkts:  5565
 receivedUniquePkts:  5539
   avgTput[kbps]:  75.9309
    avgDelay[ms]:  127.773
 max ACKed Seqno:  4944
       ACKs sent:  5567
   ACKs received:  5553
   avgPathLength:  11.9788
       dropCount:  179
       totalSent:  11300
        dropRate:  0.0158407

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5312
  rt_request_cnt:  10772
    receivedPkts:  5106
 receivedUniquePkts:  5077
   avgTput[kbps]:  69.5875
    avgDelay[ms]:  145.281
 max ACKed Seqno:  2900
       ACKs sent:  5109
   ACKs received:  5105
   avgPathLength:  12.307
       dropCount:  208
       totalSent:  10426
        dropRate:  0.0199501

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4852
  rt_request_cnt:  9769
    receivedPkts:  4689
 receivedUniquePkts:  4634
   avgTput[kbps]:  63.5093
    avgDelay[ms]:  123.766
 max ACKed Seqno:  4137
       ACKs sent:  4691
   ACKs received:  4583
   avgPathLength:  12.0356
       dropCount:  269
       totalSent:  9546
        dropRate:  0.0281793

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4413
  rt_request_cnt:  8915
    receivedPkts:  4247
 receivedUniquePkts:  4216
   avgTput[kbps]:  57.7874
    avgDelay[ms]:  146.271
 max ACKed Seqno:  3659
       ACKs sent:  4249
   ACKs received:  4238
   avgPathLength:  12.3955
       dropCount:  178
       totalSent:  8665
        dropRate:  0.0205424

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  300
        sentPkts:  4444
  rt_request_cnt:  8961
    receivedPkts:  4268
 receivedUniquePkts:  4233
   avgTput[kbps]:  58.0115
    avgDelay[ms]:  138.475
 max ACKed Seqno:  3747
       ACKs sent:  4270
   ACKs received:  4218
   avgPathLength:  12.0801
       dropCount:  227
       totalSent:  8717
        dropRate:  0.0260411

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4991
  rt_request_cnt:  10121
    receivedPkts:  4765
 receivedUniquePkts:  4729
   avgTput[kbps]:  64.8155
    avgDelay[ms]:  157.736
 max ACKed Seqno:  3052
       ACKs sent:  4767
   ACKs received:  4752
   avgPathLength:  12.2506
       dropCount:  235
       totalSent:  9761
        dropRate:  0.0240754

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5835
  rt_request_cnt:  11807
    receivedPkts:  5601
 receivedUniquePkts:  5575
   avgTput[kbps]:  76.4065
    avgDelay[ms]:  143.6
 max ACKed Seqno:  5052
       ACKs sent:  5603
   ACKs received:  5588
   avgPathLength:  11.9107
       dropCount:  241
       totalSent:  11441
        dropRate:  0.0210646

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5282
  rt_request_cnt:  10638
    receivedPkts:  5039
 receivedUniquePkts:  5027
   avgTput[kbps]:  68.8963
    avgDelay[ms]:  131.42
 max ACKed Seqno:  4606
       ACKs sent:  5041
   ACKs received:  5027
   avgPathLength:  11.9694
       dropCount:  249
       totalSent:  10326
        dropRate:  0.0241139

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4186
  rt_request_cnt:  8474
    receivedPkts:  4034
 receivedUniquePkts:  4015
   avgTput[kbps]:  55.0266
    avgDelay[ms]:  142.702
 max ACKed Seqno:  3423
       ACKs sent:  4036
   ACKs received:  4031
   avgPathLength:  12.2741
       dropCount:  156
       totalSent:  8225
        dropRate:  0.0189666

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4255
  rt_request_cnt:  8612
    receivedPkts:  4082
 receivedUniquePkts:  4063
   avgTput[kbps]:  55.693
    avgDelay[ms]:  141.102
 max ACKed Seqno:  3379
       ACKs sent:  4084
   ACKs received:  4062
   avgPathLength:  12.163
       dropCount:  176
       totalSent:  8342
        dropRate:  0.0210981

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5469
  rt_request_cnt:  11033
    receivedPkts:  5219
 receivedUniquePkts:  5189
   avgTput[kbps]:  71.1175
    avgDelay[ms]:  143.68
 max ACKed Seqno:  4548
       ACKs sent:  5221
   ACKs received:  5136
   avgPathLength:  11.9661
       dropCount:  334
       totalSent:  10693
        dropRate:  0.0312354

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  300
        sentPkts:  4846
  rt_request_cnt:  9802
    receivedPkts:  4650
 receivedUniquePkts:  4626
   avgTput[kbps]:  63.3975
    avgDelay[ms]:  138.131
 max ACKed Seqno:  3472
       ACKs sent:  4652
   ACKs received:  4643
   avgPathLength:  12.2181
       dropCount:  201
       totalSent:  9501
        dropRate:  0.0211557

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5772
  rt_request_cnt:  11649
    receivedPkts:  5466
 receivedUniquePkts:  5434
   avgTput[kbps]:  74.4803
    avgDelay[ms]:  149.611
 max ACKed Seqno:  4935
       ACKs sent:  5468
   ACKs received:  5462
   avgPathLength:  11.8302
       dropCount:  306
       totalSent:  11243
