Fri Nov  4 00:39:23 CST 2016
--- Random Seed :0 velocity: 35 ---

       startTime:  3
        stopTime:  290
        sentPkts:  277
  rt_request_cnt:  1102
    receivedPkts:  223
 receivedUniquePkts:  221
   avgTput[kbps]:  3.14984
    avgDelay[ms]:  771.032
 max ACKed Seqno:  110
       ACKs sent:  225
   ACKs received:  182
   avgPathLength:  6.74693
       dropCount:  99
       totalSent:  503
        dropRate:  0.196819
--- Random Seed :1 velocity: 35 ---

       startTime:  1
        stopTime:  299
        sentPkts:  940
  rt_request_cnt:  3605
    receivedPkts:  733
 receivedUniquePkts:  609
   avgTput[kbps]:  8.37288
    avgDelay[ms]:  134.48
 max ACKed Seqno:  608
       ACKs sent:  736
   ACKs received:  614
   avgPathLength:  6.40148
       dropCount:  333
       totalSent:  1677
        dropRate:  0.198569
--- Random Seed :2 velocity: 35 ---

       startTime:  1
        stopTime:  299
        sentPkts:  1114
  rt_request_cnt:  3751
    receivedPkts:  922
 receivedUniquePkts:  791
   avgTput[kbps]:  10.8492
    avgDelay[ms]:  140.587
 max ACKed Seqno:  791
       ACKs sent:  925
   ACKs received:  822
   avgPathLength:  6.35604
       dropCount:  297
       totalSent:  2040
        dropRate:  0.145588
--- Random Seed :3 velocity: 35 ---

       startTime:  7
        stopTime:  299
        sentPkts:  981
  rt_request_cnt:  4029
    receivedPkts:  796
 receivedUniquePkts:  627
   avgTput[kbps]:  8.77358
    avgDelay[ms]:  150.837
 max ACKed Seqno:  627
       ACKs sent:  797
   ACKs received:  698
   avgPathLength:  6.34916
       dropCount:  285
       totalSent:  1779
        dropRate:  0.160202
--- Random Seed :4 velocity: 35 ---

       startTime:  1
        stopTime:  298
        sentPkts:  793
  rt_request_cnt:  2782
    receivedPkts:  608
 receivedUniquePkts:  493
   avgTput[kbps]:  6.78956
    avgDelay[ms]:  173.093
 max ACKed Seqno:  493
       ACKs sent:  610
   ACKs received:  485
   avgPathLength:  6.41826
       dropCount:  311
       totalSent:  1404
        dropRate:  0.22151
--- Random Seed :0 velocity: 40 ---

       startTime:  1
        stopTime:  298
        sentPkts:  572
  rt_request_cnt:  2946
    receivedPkts:  420
 receivedUniquePkts:  333
   avgTput[kbps]:  4.58095
    avgDelay[ms]:  96.0327
 max ACKed Seqno:  333
       ACKs sent:  422
   ACKs received:  346
   avgPathLength:  6.33333
       dropCount:  228
       totalSent:  995
        dropRate:  0.229146
--- Random Seed :1 velocity: 40 ---

       startTime:  1
        stopTime:  298
        sentPkts:  807
  rt_request_cnt:  3353
    receivedPkts:  603
 receivedUniquePkts:  475
   avgTput[kbps]:  6.53755
    avgDelay[ms]:  119.27
 max ACKed Seqno:  475
       ACKs sent:  604
   ACKs received:  482
   avgPathLength:  6.42173
       dropCount:  330
       totalSent:  1412
        dropRate:  0.233711
--- Random Seed :2 velocity: 40 ---

       startTime:  1
        stopTime:  299
        sentPkts:  789
  rt_request_cnt:  2757
    receivedPkts:  633
 receivedUniquePkts:  518
   avgTput[kbps]:  7.12011
    avgDelay[ms]:  565.501
 max ACKed Seqno:  518
       ACKs sent:  635
   ACKs received:  518
   avgPathLength:  6.64007
       dropCount:  273
       totalSent:  1425
        dropRate:  0.191579
--- Random Seed :3 velocity: 40 ---

       startTime:  1
        stopTime:  299
        sentPkts:  1433
  rt_request_cnt:  5048
    receivedPkts:  1185
 receivedUniquePkts:  962
   avgTput[kbps]:  13.2236
    avgDelay[ms]:  242.46
 max ACKed Seqno:  961
       ACKs sent:  1190
   ACKs received:  1020
   avgPathLength:  6.38552
       dropCount:  420
       totalSent:  2624
        dropRate:  0.160061
--- Random Seed :4 velocity: 40 ---

       startTime:  1
        stopTime:  299
        sentPkts:  935
  rt_request_cnt:  4000
    receivedPkts:  741
 receivedUniquePkts:  610
   avgTput[kbps]:  8.36472
    avgDelay[ms]:  189.653
 max ACKed Seqno:  609
       ACKs sent:  743
   ACKs received:  565
   avgPathLength:  6.40673
       dropCount:  372
       totalSent:  1679
        dropRate:  0.22156
--- Random Seed :0 velocity: 45 ---

       startTime:  1
        stopTime:  299
        sentPkts:  1029
  rt_request_cnt:  4258
    receivedPkts:  773
 receivedUniquePkts:  600
   avgTput[kbps]:  8.2295
    avgDelay[ms]:  82.2113
 max ACKed Seqno:  600
       ACKs sent:  775
   ACKs received:  674
   avgPathLength:  6.34369
       dropCount:  357
       totalSent:  1805
        dropRate:  0.197784
--- Random Seed :1 velocity: 45 ---

       startTime:  3
        stopTime:  295
        sentPkts:  348
  rt_request_cnt:  1939
    receivedPkts:  275
 receivedUniquePkts:  273
   avgTput[kbps]:  3.8287
    avgDelay[ms]:  675.334
 max ACKed Seqno:  176
       ACKs sent:  277
   ACKs received:  206
   avgPathLength:  6.51967
       dropCount:  145
       totalSent:  627
        dropRate:  0.23126
--- Random Seed :2 velocity: 45 ---

       startTime:  1
        stopTime:  297
        sentPkts:  1739
  rt_request_cnt:  6455
    receivedPkts:  1453
 receivedUniquePkts:  1204
   avgTput[kbps]:  16.6392
    avgDelay[ms]:  130.858
 max ACKed Seqno:  1204
       ACKs sent:  1456
   ACKs received:  1277
   avgPathLength:  6.49177
       dropCount:  467
       totalSent:  3196
        dropRate:  0.14612
--- Random Seed :3 velocity: 45 ---

       startTime:  1
        stopTime:  299
        sentPkts:  1139
  rt_request_cnt:  4233
    receivedPkts:  903
 receivedUniquePkts:  751
   avgTput[kbps]:  10.3058
    avgDelay[ms]:  69.0167
 max ACKed Seqno:  751
       ACKs sent:  906
   ACKs received:  770
   avgPathLength:  6.40155
       dropCount:  375
       totalSent:  2046
        dropRate:  0.183284
--- Random Seed :4 velocity: 45 ---

       startTime:  1
        stopTime:  299
        sentPkts:  1170
  rt_request_cnt:  4184
    receivedPkts:  921
 receivedUniquePkts:  752
   avgTput[kbps]:  10.3177
    avgDelay[ms]:  98.4942
 max ACKed Seqno:  752
       ACKs sent:  922
   ACKs received:  826
   avgPathLength:  6.33352
       dropCount:  342
       totalSent:  2093
        dropRate:  0.163402
