Sat Nov  5 19:03:38 CST 2016
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:5 ---

       startTime:  1
        stopTime:  299
        sentPkts:  2788
  rt_request_cnt:  5583
    receivedPkts:  2783
 receivedUniquePkts:  2783
   avgTput[kbps]:  38.1561
    avgDelay[ms]:  30.6436
 max ACKed Seqno:  1523
       ACKs sent:  2785
   ACKs received:  2785
   avgPathLength:  4.03232
       dropCount:  4
       totalSent:  5575
        dropRate:  0.000717489

--- Hop Node Number:5 ---

       startTime:  1
        stopTime:  299
        sentPkts:  2964
  rt_request_cnt:  5936
    receivedPkts:  2960
 receivedUniquePkts:  2960
   avgTput[kbps]:  40.5739
    avgDelay[ms]:  30.057
 max ACKed Seqno:  1725
       ACKs sent:  2962
   ACKs received:  2962
   avgPathLength:  4.03038
       dropCount:  4
       totalSent:  5928
        dropRate:  0.000674764

--- Hop Node Number:5 ---

       startTime:  1
        stopTime:  299
        sentPkts:  3424
  rt_request_cnt:  6856
    receivedPkts:  3420
 receivedUniquePkts:  3420
   avgTput[kbps]:  46.8795
    avgDelay[ms]:  29.7683
 max ACKed Seqno:  2165
       ACKs sent:  3422
   ACKs received:  3422
   avgPathLength:  4.0263
       dropCount:  4
       totalSent:  6848
        dropRate:  0.000584112

--- Hop Node Number:5 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5475
  rt_request_cnt:  10957
    receivedPkts:  5470
 receivedUniquePkts:  5470
   avgTput[kbps]:  74.9681
    avgDelay[ms]:  30.1635
 max ACKed Seqno:  3812
       ACKs sent:  5472
   ACKs received:  5472
   avgPathLength:  4.01645
       dropCount:  4
       totalSent:  10949
        dropRate:  0.00036533

--- Hop Node Number:5 ---

       startTime:  1
        stopTime:  299
        sentPkts:  7954
  rt_request_cnt:  15915
    receivedPkts:  7944
 receivedUniquePkts:  7944
   avgTput[kbps]:  108.864
    avgDelay[ms]:  32.7256
 max ACKed Seqno:  7028
       ACKs sent:  7946
   ACKs received:  7945
   avgPathLength:  4.0516
       dropCount:  8
       totalSent:  15902
        dropRate:  0.000503081

--- Hop Node Number:5 ---

       startTime:  1
        stopTime:  299
        sentPkts:  7909
  rt_request_cnt:  15826
    receivedPkts:  7901
 receivedUniquePkts:  7899
   avgTput[kbps]:  108.241
    avgDelay[ms]:  34.3506
 max ACKed Seqno:  6973
       ACKs sent:  7903
   ACKs received:  7902
   avgPathLength:  4.0968
       dropCount:  8
       totalSent:  15814
        dropRate:  0.000505881

--- Hop Node Number:5 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8193
  rt_request_cnt:  16394
    receivedPkts:  8186
 receivedUniquePkts:  8183
   avgTput[kbps]:  112.131
    avgDelay[ms]:  37.2375
 max ACKed Seqno:  7065
       ACKs sent:  8188
   ACKs received:  8188
   avgPathLength:  4.13263
       dropCount:  7
       totalSent:  16383
        dropRate:  0.000427272

--- Hop Node Number:5 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8192
  rt_request_cnt:  16394
    receivedPkts:  8173
 receivedUniquePkts:  8170
   avgTput[kbps]:  111.961
    avgDelay[ms]:  34.4708
 max ACKed Seqno:  7250
       ACKs sent:  8175
   ACKs received:  8173
   avgPathLength:  4.03291
       dropCount:  20
       totalSent:  16369
        dropRate:  0.00122182

--- Hop Node Number:5 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8121
  rt_request_cnt:  16251
    receivedPkts:  8111
 receivedUniquePkts:  8097
   avgTput[kbps]:  110.959
    avgDelay[ms]:  40.6642
 max ACKed Seqno:  6453
       ACKs sent:  8113
   ACKs received:  8111
   avgPathLength:  4.25136
       dropCount:  11
       totalSent:  16236
        dropRate:  0.000677507

--- Hop Node Number:5 ---

       startTime:  1
        stopTime:  299
        sentPkts:  7814
  rt_request_cnt:  15646
    receivedPkts:  7776
 receivedUniquePkts:  7758
   avgTput[kbps]:  106.31
    avgDelay[ms]:  41.8354
 max ACKed Seqno:  5437
       ACKs sent:  7778
   ACKs received:  7768
   avgPathLength:  4.29217
       dropCount:  48
       totalSent:  15594
        dropRate:  0.00307811

--- Hop Node Number:5 ---

       startTime:  1
        stopTime:  299
        sentPkts:  7412
  rt_request_cnt:  14851
    receivedPkts:  7327
 receivedUniquePkts:  7287
   avgTput[kbps]:  99.8624
    avgDelay[ms]:  50.2045
 max ACKed Seqno:  4639
       ACKs sent:  7329
   ACKs received:  7305
   avgPathLength:  4.4726
       dropCount:  108
       totalSent:  14743
        dropRate:  0.00732551

--- Hop Node Number:5 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8090
  rt_request_cnt:  16220
    receivedPkts:  7971
 receivedUniquePkts:  7912
   avgTput[kbps]:  108.426
    avgDelay[ms]:  59.2348
 max ACKed Seqno:  4259
       ACKs sent:  7973
   ACKs received:  7941
   avgPathLength:  4.56881
       dropCount:  150
       totalSent:  16065
        dropRate:  0.00933707

--- Hop Node Number:5 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8380
  rt_request_cnt:  16782
    receivedPkts:  8231
 receivedUniquePkts:  8193
   avgTput[kbps]:  112.274
    avgDelay[ms]:  54.7154
 max ACKed Seqno:  5601
       ACKs sent:  8233
   ACKs received:  8221
   avgPathLength:  4.48341
       dropCount:  158
       totalSent:  16615
        dropRate:  0.00950948

--- Hop Node Number:5 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8328
  rt_request_cnt:  16697
    receivedPkts:  8208
 receivedUniquePkts:  8169
   avgTput[kbps]:  111.945
    avgDelay[ms]:  54.9351
 max ACKed Seqno:  4548
       ACKs sent:  8210
   ACKs received:  8185
   avgPathLength:  4.3989
       dropCount:  142
       totalSent:  16540
        dropRate:  0.00858525

--- Hop Node Number:5 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8312
  rt_request_cnt:  16645
    receivedPkts:  8136
 receivedUniquePkts:  8071
   avgTput[kbps]:  110.601
    avgDelay[ms]:  67.5425
 max ACKed Seqno:  5387
       ACKs sent:  8138
   ACKs received:  8107
   avgPathLength:  4.71247
       dropCount:  207
       totalSent:  16452
        dropRate:  0.0125821

--- Hop Node Number:5 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8484
  rt_request_cnt:  16987
    receivedPkts:  8408
 receivedUniquePkts:  8380
   avgTput[kbps]:  114.836
    avgDelay[ms]:  53.3381
 max ACKed Seqno:  5993
       ACKs sent:  8410
   ACKs received:  8396
   avgPathLength:  4.42318
       dropCount:  89
       totalSent:  16896
        dropRate:  0.00526752

--- Hop Node Number:5 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8301
  rt_request_cnt:  16639
    receivedPkts:  8139
 receivedUniquePkts:  8081
   avgTput[kbps]:  110.749
    avgDelay[ms]:  64.9852
 max ACKed Seqno:  5312
       ACKs sent:  8141
   ACKs received:  8097
   avgPathLength:  4.58357
       dropCount:  205
       totalSent:  16444
        dropRate:  0.0124666

--- Hop Node Number:5 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8577
  rt_request_cnt:  17200
    receivedPkts:  8400
 receivedUniquePkts:  8357
   avgTput[kbps]:  114.524
    avgDelay[ms]:  62.8176
 max ACKed Seqno:  6330
       ACKs sent:  8402
   ACKs received:  8387
   avgPathLength:  4.45708
       dropCount:  186
       totalSent:  16981
        dropRate:  0.0109534

--- Hop Node Number:5 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8426
  rt_request_cnt:  16876
    receivedPkts:  8274
 receivedUniquePkts:  8208
   avgTput[kbps]:  112.479
    avgDelay[ms]:  65.6128
 max ACKed Seqno:  5826
       ACKs sent:  8276
   ACKs received:  8228
   avgPathLength:  4.53066
       dropCount:  198
       totalSent:  16704
        dropRate:  0.0118534

--- Hop Node Number:5 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8396
  rt_request_cnt:  16818
    receivedPkts:  8191
 receivedUniquePkts:  8102
   avgTput[kbps]:  111.037
    avgDelay[ms]:  74.3263
 max ACKed Seqno:  4613
       ACKs sent:  8193
   ACKs received:  8160
   avgPathLength:  4.68367
       dropCount:  234
       totalSent:  16591
        dropRate:  0.014104

--- Hop Node Number:5 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8388
  rt_request_cnt:  16829
    receivedPkts:  8164
 receivedUniquePkts:  8078
   avgTput[kbps]:  110.697
    avgDelay[ms]:  70.774
 max ACKed Seqno:  4758
       ACKs sent:  8166
   ACKs received:  8116
   avgPathLength:  4.61086
       dropCount:  272
       totalSent:  16556
        dropRate:  0.0164291

--- Hop Node Number:5 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8471
  rt_request_cnt:  16953
    receivedPkts:  8228
 receivedUniquePkts:  8164
   avgTput[kbps]:  111.874
    avgDelay[ms]:  76.1687
 max ACKed Seqno:  5083
       ACKs sent:  8230
   ACKs received:  8194
   avgPathLength:  4.71079
       dropCount:  274
       totalSent:  16703
        dropRate:  0.0164042

--- Hop Node Number:5 ---

       startTime:  1
        stopTime:  299
        sentPkts:  8506
  rt_request_cnt:  17061
    receivedPkts:  8311
 receivedUniquePkts:  8229
   avgTput[kbps]:  112.762
    avgDelay[ms]:  68.0582
 max ACKed Seqno:  5664
       ACKs sent:  8313
   ACKs received:  8266
   avgPathLength:  4.4636
       dropCount:  240
       totalSent:  16821
